occurrenceID,eventID,subsiteCode,lifeStage,genus,scientificName,sex,individualCount,IdentifiedBy,siteCode,samplingProtocol1,samplingProtocol,TrapCode,eventDate,verbatimEventDate,locality,municipality,decimalLongitude,decimalLatitude
EM001,N2M002Jun,noCode,unknown,Anopheles,Anopheles plumbeus,female,1,Isra,N2,MosquitoMagnet,MMLP,M002,2012/6/5 0:00:00,2012/6/5 0:00:00/2012/6/26 0:00:00,Tyres Sarri Pneus,Hamois,"5,0716363022496","50,3358627277969"
EM002,N1M001Jul,noCode,unknown,Culex,Culex pipiens,female,1,Isra,N1,MosquitoMagnet,MMLP,M001,2012/7/27 0:00:00,2012/7/27 0:00:00/2012/8/3 0:00:00,Tyres Havelange,Hamois,"5,0457397","50,339200617"
EM003,N1M001Jul,noCode,unknown,Culex,Culex pipiens,female,1,Isra,N1,MosquitoMagnet,MMLP,M001,2012/7/27 0:00:00,2012/7/27 0:00:00/2012/8/3 0:00:00,Tyres Havelange,Hamois,"5,0457397","50,339200617"
EM004,N1M001Jul,noCode,unknown,Culex,Culex pipiens,female,1,Isra,N1,MosquitoMagnet,MMLP,M001,2012/7/27 0:00:00,2012/7/27 0:00:00/2012/8/3 0:00:00,Tyres Havelange,Hamois,"5,0457397","50,339200617"
EM005,N1M001Jul,noCode,unknown,Culex,Culex pipiens,female,1,Isra,N1,MosquitoMagnet,MMLP,M001,2012/7/27 0:00:00,2012/7/27 0:00:00/2012/8/3 0:00:00,Tyres Havelange,Hamois,"5,0457397","50,339200617"
EM006,N1M001Jul,noCode,unknown,Culex,Culex pipiens,female,1,Isra,N1,MosquitoMagnet,MMLP,M001,2012/7/27 0:00:00,2012/7/27 0:00:00/2012/8/3 0:00:00,Tyres Havelange,Hamois,"5,0457397","50,339200617"
EM007,N1M001Jul,noCode,unknown,Culex,Culex pipiens,female,1,Isra,N1,MosquitoMagnet,MMLP,M001,2012/7/27 0:00:00,2012/7/27 0:00:00/2012/8/3 0:00:00,Tyres Havelange,Hamois,"5,0457397","50,339200617"
EM008,N1M001Jul,noCode,unknown,Aedes,Aedes geniculatus,female,1,Isra,N1,MosquitoMagnet,MMLP,M001,2012/7/27 0:00:00,2012/7/27 0:00:00/2012/8/3 0:00:00,Tyres Havelange,Hamois,"5,0457397","50,339200617"
EM009,PEM011Jul,noCode,unknown,Culex,Culex pipiens,female,1,Isra,PE,MosquitoMagnet,MMLP,M011,2012/7/10 0:00:00,2012/7/10 0:00:00/2012/7/17 0:00:00,Shelter Petrivo,Sint-Katelijne-Waver,"4,507211631","51,055363237"
EM010,PEM011Jul,noCode,unknown,Culex,Culex pipiens,female,1,Isra,PE,MosquitoMagnet,MMLP,M011,2012/7/10 0:00:00,2012/7/10 0:00:00/2012/7/17 0:00:00,Shelter Petrivo,Sint-Katelijne-Waver,"4,507211631","51,055363237"
EM011,PEM011Jul,noCode,unknown,Culex,Culex pipiens,female,1,Isra,PE,MosquitoMagnet,MMLP,M011,2012/7/10 0:00:00,2012/7/10 0:00:00/2012/7/17 0:00:00,Shelter Petrivo,Sint-Katelijne-Waver,"4,507211631","51,055363237"
EM012,PEM011Jul,noCode,unknown,Culex,Culex pipiens,female,1,Isra,PE,MosquitoMagnet,MMLP,M011,2012/7/10 0:00:00,2012/7/10 0:00:00/2012/7/17 0:00:00,Shelter Petrivo,Sint-Katelijne-Waver,"4,507211631","51,055363237"
EM013,PEM011Jul,noCode,unknown,Culex,Culex pipiens,female,1,Isra,PE,MosquitoMagnet,MMLP,M011,2012/7/10 0:00:00,2012/7/10 0:00:00/2012/7/17 0:00:00,Shelter Petrivo,Sint-Katelijne-Waver,"4,507211631","51,055363237"
EM014,PEM011Jul,noCode,unknown,Culex,Culex pipiens,female,1,Isra,PE,MosquitoMagnet,MMLP,M011,2012/7/10 0:00:00,2012/7/10 0:00:00/2012/7/17 0:00:00,Shelter Petrivo,Sint-Katelijne-Waver,"4,507211631","51,055363237"
EM015,PEM011Jul,noCode,unknown,Culex,Culex pipiens,female,1,Isra,PE,MosquitoMagnet,MMLP,M011,2012/7/10 0:00:00,2012/7/10 0:00:00/2012/7/17 0:00:00,Shelter Petrivo,Sint-Katelijne-Waver,"4,507211631","51,055363237"
EM016,PEM011Jul,noCode,unknown,Culex,Culex pipiens,female,1,Isra,PE,MosquitoMagnet,MMLP,M011,2012/7/10 0:00:00,2012/7/10 0:00:00/2012/7/17 0:00:00,Shelter Petrivo,Sint-Katelijne-Waver,"4,507211631","51,055363237"
EM017,PEM011Jul,noCode,unknown,Culex,Culex pipiens,female,1,Isra,PE,MosquitoMagnet,MMLP,M011,2012/7/10 0:00:00,2012/7/10 0:00:00/2012/7/17 0:00:00,Shelter Petrivo,Sint-Katelijne-Waver,"4,507211631","51,055363237"
EM018,PEM011Jul,noCode,unknown,Culex,Culex pipiens,female,1,Isra,PE,MosquitoMagnet,MMLP,M011,2012/7/10 0:00:00,2012/7/10 0:00:00/2012/7/17 0:00:00,Shelter Petrivo,Sint-Katelijne-Waver,"4,507211631","51,055363237"
EM019,PEM011Jul,noCode,unknown,Culex,Culex pipiens/torrentium?,female,1,Isra,PE,MosquitoMagnet,MMLP,M011,2012/7/10 0:00:00,2012/7/10 0:00:00/2012/7/17 0:00:00,Shelter Petrivo,Sint-Katelijne-Waver,"4,507211631","51,055363237"
EM020,PEM011Jul,noCode,unknown,Culex,Culex pipiens,female,1,Isra,PE,MosquitoMagnet,MMLP,M011,2012/7/10 0:00:00,2012/7/10 0:00:00/2012/7/17 0:00:00,Shelter Petrivo,Sint-Katelijne-Waver,"4,507211631","51,055363237"
EM021,M1M003W28,noCode,unknown,Coquillettidia,Coquillettidia richiardii,female,1,Isra,M1,MosquitoMagnet,LatinSquare,M003,2012/7/11 0:00:00,2012/7/11 0:00:00/2012/7/18 0:00:00,Forest next to industrial area 'Op de Berg',Maasmechelen,"5,619013","50,996013"
EM022,M1M003W28,noCode,unknown,Aedes,Aedes cinereus/geminus,female,1,Isra,M1,MosquitoMagnet,LatinSquare,M003,2012/7/11 0:00:00,2012/7/11 0:00:00/2012/7/18 0:00:00,Forest next to industrial area 'Op de Berg',Maasmechelen,"5,619013","50,996013"
EM023,EVM010Jul,noCode,unknown,Culiseta,Culiseta annulata,female,1,Isra,EV,MosquitoMagnet,MMLP,M010,2012/7/10 0:00:00,2012/7/10 0:00:00/2012/7/17 0:00:00,Shelter Euroveiling,Brussel,"5,259748","50,585328"
EM024,DIM014Jul,noCode,unknown,Culex,Culex torrentium,female,1,Isra,,MosquitoMagnet,MMLP,M014,2012/7/11 0:00:00,2012/7/11 0:00:00/2012/7/18 0:00:00,,,,
EM025,EPM007Jul,noCode,unknown,Culex,Culex pipiens/torrentium?,female,1,Isra,EP,MosquitoMagnet,MMLP,M007,2012/7/9 0:00:00,2012/7/9 0:00:00/2012/7/16 0:00:00,Shelter Exotic Plants BVBA,Wevelgem,"3,211485304","50,815884813"
