samplingID,genus,lifeStage,locationID,sex,scientificName,Tubenumber,occurrenceRemarks,dateIdentified,individualCount,identifiedBy,decimalLatitude,decimalLongitude,habitat,municipality,comments
N1L018Jun,Culex,Larva,N1L018,NA,pipiens/torrentium,EL001,also 2 pupae,2012/7/24 0:00:00,2,Isra Deblauwe,"50,36","4,99",tyre,Assesse,tyres next to field
N1L010Ju2,Aedes,Adult,N1L010,M,j. japonicus,EL002,tyres on silage,2012/7/5 0:00:00,1,Isra Deblauwe,"50,33","5,03",tyre,Ciney,"Vincon, on silage & next to stable"
N1L010Ju2,Culex,Larva,N1L010,NA,pipiens/torrentium,EL003,tyres on silage,2012/7/5 0:00:00,6,Isra Deblauwe,"50,33","5,03",tyre,Ciney,"Vincon, on silage & next to stable"
VPL001Jun,Culex,Larva,VPL001,NA,pipiens/torrentium,EL004,,2012/7/5 0:00:00,4,Isra Deblauwe,"50,58","5,25",tyre,Villers Le Bouillet,
M2L001Jul,Culex,Larva,M2L001,NA,pipiens/torrentium,EL005,a lot of small larvae,2012/7/26 0:00:00,37,Isra Deblauwe,"50,99","5,62",dirt tracks,Maasmechelen,next to forest M1
M2L002Jul,Aedes,Larva,M2L002,NA,koreicus,EL006,+ 1 pupa,2012/7/26 0:00:00,13,Isra Deblauwe,"50,99","5,62",tyre,Maasmechelen,
M2L003Jul,Culex,Larva,M2L003,NA,pipiens/torrentium,EL007,a lot of small larvae,2012/7/26 0:00:00,27,Isra Deblauwe,"50,99","5,62",rain water barrel,Maasmechelen,entrance car cemetry Armand Lowie
M2L004Jul,Aedes,Larva,M2L004,NA,koreicus,EL008,+ pupae,2012/7/26 0:00:00,20,Isra Deblauwe,"50,98","5,63",bucket,Maasmechelen,road next to Mechelse Bos close to industrial zone 'Op de Berg'
M2L004Jul,Culex,Larva,M2L004,NA,pipiens/torrentium,EL009,,2012/7/26 0:00:00,7,Isra Deblauwe,"50,98","5,63",bucket,Maasmechelen,road next to Mechelse Bos close to industrial zone 'Op de Berg'
M2L009Jul,Culex,Larva,M2L009,NA,pipiens/torrentium,EL010,"a lot of small larvae, + 5 pupae",2012/7/26 0:00:00,65,Isra Deblauwe,"50,95","5,56",water trough,Zutendaal,"in meadow, Wiemesmeer"
M2L010Jul,Culex,Larva,M2L010,NA,pipiens/torrentium,EL011,1 already dead,2012/7/26 0:00:00,2,Isra Deblauwe,"50,95","5,56",water through,Zutendaal,"in meadow, Wiemesmeer"
M2L011Jul,Culex,Larva,M2L011,NA,pipiens/torrentium,EL012,a lot of small larvae,2012/7/26 0:00:00,38,Isra Deblauwe,"50,95","5,56",puddle,Zutendaal,"in meadow, Wiemesmeer"
M2L013Jul,Culex,Larva,M2L013,NA,pipiens/torrentium,EL013,also small larvae,2012/7/26 0:00:00,35,Isra Deblauwe,"50,96","5,55",bucket,Zutendaal,next to old house in forest
M2L014Jul,Culex,Larva,M2L014,NA,pipiens/torrentium,EL014,a lot of small larvae,2012/7/30 0:00:00,107,Isra Deblauwe,"51,01","5,58",water through,As,"Niel-bij-As, in meadow"
M2L015Jul,Culex,Larva,M2L015,NA,pipiens/torrentium,EL015,2 pupae,2012/7/31 0:00:00,47,Isra Deblauwe,"51,01","5,58",water through,As,"Niel-bij-As, next to meadow"
N1L001Jul,Culex,Larva,N1L001,NA,pipiens/torrentium,EL016,from both sides of building,2012/7/30 0:00:00,47,Isra Deblauwe,"50,33","5,04",tyre,Hamois,"Natoye, Havelange"
N1L001Jul,Aedes,Larva,N1L001,NA,j. japonicus,EL017,from both sides of building,2012/7/30 0:00:00,7,Isra Deblauwe,"50,33","5,04",tyre,Hamois,"Natoye, Havelange"
N1L001Jul,Culex,Larva,N1L001,NA,h. hortensis,EL018,from both sides of building,2012/7/30 0:00:00,1,Isra Deblauwe,"50,33","5,04",tyre,Hamois,"Natoye, Havelange"
N1L002Jul,Aedes,Larva,N1L002,NA,j. japonicus,EL019,,2012/7/30 0:00:00,5,Isra Deblauwe,"50,33","5,04",tree hole,Hamois,"Natoye, Havelange"
N1L002Jul,Anopheles,Larva,N1L002,NA,plumbeus,EL020,,2012/8/9 0:00:00,1,Isra Deblauwe,"50,33","5,04",tree hole,Hamois,"Natoye, Havelange"
N1L010Jul,Culex,Larva,N1L010,NA,pipiens/torrentium,EL021,tyres on silage,2012/7/30 0:00:00,18,Isra Deblauwe,"50,33","5,03",tyre,Ciney,"Vincon, on silage & next to stable"
