Tube number,occurrenceID,Identification ovitraps_Sampling Code,Identification ovitraps_Subsite Code,lifeStage,scientificName,genus,species,sex,individualCount,identifiedBy,dataIdentified,Identification ovitraps_Comments,Sampling ovitraps_Sampling Code,eventID,locationID,Trap Code,eventDate,verbatimEventDate,Presence of Aedes eggs,Sampling ovitraps_Comments,municipality,Longitude,Latitude,Land cover level 1,Eclosion Date A/L,Storage of Box
EO007,ITG:MOSQ:VECT:EO007,N1P2-5Jun,N108a,larva,Aedes j. japonicus,Aedes,j. japonicus,NA,1,Isra Deblauwe,2012-07-24,eclosion date not sure,N1P2-5Jun,ITG:MOSQ:VECT:N1P2-5Jun,N108a,P2-5,2012-06-05,2012-06-05 /2012-06-26,WAAR,"N1008a, polystyrene next to trap",Hamois,"5,044350","50,338740",Forest and semi-natural areas,19-jul-12,"KB25, on rack"
EO030,ITG:MOSQ:VECT:EO030,N1P2-1Jul,N108b,larva,Aedes j. japonicus,Aedes,j. japonicus,NA,86,Isra Deblauwe,2012-08-14,+ 3 eggs,N1P2-1Jul,ITG:MOSQ:VECT:N1P2-1Jul,N108b,P2-1,2012-06-26,2012-06-26 /2012-08-03,WAAR,N1008b,Hamois,"5,043293","50,337456",Forest and semi-natural areas,08-aug-12,"KB25, on rack"
EO011,ITG:MOSQ:VECT:EO011,N1P1-5Jul,N1009,larva,Aedes j. japonicus,Aedes,j. japonicus,NA,85,Isra Deblauwe,2012-08-10,"+ 10 eggs, also ID on 14/8/12",N1P1-5Jul,ITG:MOSQ:VECT:N1P1-5Jul,N1009,P1-5,2012-06-26,2012-06-26 /2012-08-03,WAAR,,Hamois,"5,044248","50,335326",Forest and semi-natural areas,08-aug-12,"KB25, on rack"
EO002,ITG:MOSQ:VECT:EO002,N1P1-4Jun,N1010,larva,Aedes j. japonicus,Aedes,j. japonicus,NA,3,Isra Deblauwe,2012-07-24,,N1P1-4Jun,ITG:MOSQ:VECT:N1P1-4Jun,N1010,P1-4,2012-06-05,2012-06-05 /2012-06-26,WAAR,,Hamois,"5,045144","50,338576",Forest and semi-natural areas,24-jul-12,"KB25, on rack"
EO003,ITG:MOSQ:VECT:EO003,N1P1-4Jun,N1010,larva,Aedes j. japonicus,Aedes,j. japonicus,NA,1,Isra Deblauwe,2012-07-24,,N1P1-4Jun,ITG:MOSQ:VECT:N1P1-4Jun,N1010,P1-4,2012-06-05,2012-06-05 /2012-06-26,WAAR,,Hamois,"5,045144","50,338576",Forest and semi-natural areas,12-jul-12,"KB25, on rack"
EO004,ITG:MOSQ:VECT:EO004,N1P1-4Jun,N1010,larva,Aedes j. japonicus,Aedes,j. japonicus,NA,2,Isra Deblauwe,2012-07-24,,N1P1-4Jun,ITG:MOSQ:VECT:N1P1-4Jun,N1010,P1-4,2012-06-05,2012-06-05 /2012-06-26,WAAR,,Hamois,"5,045144","50,338576",Forest and semi-natural areas,19-jul-12,"KB25, on rack"
EO005,ITG:MOSQ:VECT:EO005,N1P1-1Jun,N1010,larva,Aedes j. japonicus,Aedes,j. japonicus,NA,24,Isra Deblauwe,2012-07-24,,N1P1-1Jun,ITG:MOSQ:VECT:N1P1-1Jun,N1010,P1-1,2012-06-05,2012-06-05 /2012-06-26,WAAR,,Hamois,"5,045144","50,338576",Forest and semi-natural areas,12-jul-12,"KB25, on rack"
EO009,ITG:MOSQ:VECT:EO009,N1P1-1Jun,N1010,larva,Aedes j. japonicus,Aedes,j. japonicus,NA,20,Isra Deblauwe,2012-08-13,7 pupae,N1P1-1Jun,ITG:MOSQ:VECT:N1P1-1Jun,N1010,P1-1,2012-06-05,2012-06-05 /2012-06-26,WAAR,,Hamois,"5,045144","50,338576",Forest and semi-natural areas,26-jul-12,"KB25, on rack"
EO015,ITG:MOSQ:VECT:EO015,N1P1-1Jun,N1010,adult,Aedes j. japonicus,Aedes,j. japonicus,M,1,Isra Deblauwe,2012-08-13,,N1P1-1Jun,ITG:MOSQ:VECT:N1P1-1Jun,N1010,P1-1,2012-06-05,2012-06-05 /2012-06-26,WAAR,,Hamois,"5,045144","50,338576",Forest and semi-natural areas,19-jul-12,"KB25, closet 123"
EO016,ITG:MOSQ:VECT:EO016,N1P1-1Jun,N1010,adult,Aedes j. japonicus,Aedes,j. japonicus,M,1,Isra Deblauwe,2012-08-13,,N1P1-1Jun,ITG:MOSQ:VECT:N1P1-1Jun,N1010,P1-1,2012-06-05,2012-06-05 /2012-06-26,WAAR,,Hamois,"5,045144","50,338576",Forest and semi-natural areas,19-jul-12,"KB25, closet 123"
EO017,ITG:MOSQ:VECT:EO017,N1P1-1Jun,N1010,adult,Aedes j. japonicus,Aedes,j. japonicus,M,1,Isra Deblauwe,2012-08-13,,N1P1-1Jun,ITG:MOSQ:VECT:N1P1-1Jun,N1010,P1-1,2012-06-05,2012-06-05 /2012-06-26,WAAR,,Hamois,"5,045144","50,338576",Forest and semi-natural areas,19-jul-12,"KB25, closet 123"
