occurrenceID,type,eventID,basisOfRecord,lifeStage,scientificName,occurrenceRemarks,genus,sex,individualCount,IdentifiedBy,samplingProtocol,TrapCode
ITG:MOSQ:SAMPL:EM001,event,ITG:MOSQ:SAMPL:EV:N2M002Jun,preservedSpecimen,unknown,Anopheles plumbeus,,Anopheles,female,1,Isra Deblauwe,Mosquito Magnet Liberty Plus,M002
ITG:MOSQ:SAMPL:EM002,event,ITG:MOSQ:SAMPL:EV:N1M001Jul,preservedSpecimen,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,Mosquito Magnet Liberty Plus,M001
ITG:MOSQ:SAMPL:EM003,event,ITG:MOSQ:SAMPL:EV:N1M001Jul,preservedSpecimen,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,Mosquito Magnet Liberty Plus,M001
ITG:MOSQ:SAMPL:EM004,event,ITG:MOSQ:SAMPL:EV:N1M001Jul,preservedSpecimen,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,Mosquito Magnet Liberty Plus,M001
ITG:MOSQ:SAMPL:EM005,event,ITG:MOSQ:SAMPL:EV:N1M001Jul,preservedSpecimen,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,Mosquito Magnet Liberty Plus,M001
ITG:MOSQ:SAMPL:EM006,event,ITG:MOSQ:SAMPL:EV:N1M001Jul,preservedSpecimen,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,Mosquito Magnet Liberty Plus,M001
ITG:MOSQ:SAMPL:EM007,event,ITG:MOSQ:SAMPL:EV:N1M001Jul,preservedSpecimen,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,Mosquito Magnet Liberty Plus,M001
ITG:MOSQ:SAMPL:EM008,event,ITG:MOSQ:SAMPL:EV:N1M001Jul,preservedSpecimen,unknown,Aedes geniculatus,,Aedes,female,1,Isra Deblauwe,Mosquito Magnet Liberty Plus,M001
ITG:MOSQ:SAMPL:EM009,event,ITG:MOSQ:SAMPL:EV:PEM011Jul,preservedSpecimen,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,Mosquito Magnet Liberty Plus,M011
ITG:MOSQ:SAMPL:EM010,event,ITG:MOSQ:SAMPL:EV:PEM011Jul,preservedSpecimen,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,Mosquito Magnet Liberty Plus,M011
ITG:MOSQ:SAMPL:EM011,event,ITG:MOSQ:SAMPL:EV:PEM011Jul,preservedSpecimen,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,Mosquito Magnet Liberty Plus,M011
ITG:MOSQ:SAMPL:EM012,event,ITG:MOSQ:SAMPL:EV:PEM011Jul,preservedSpecimen,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,Mosquito Magnet Liberty Plus,M011
