occurrenceID,type,basisOfRecord,eventID,lifeStage,locationID,sex,scientificName,genus,specificEpithet,identificationRemarks,occurrenceRemarks,dateIdentified,individualCount,identifiedBy,decimalLatitude,decimalLongitude
ITG:MOSQ:LARV:EL001,event,preservedSpecimen,ITG:MOSQ:LARV:EV:N1L018Jun,larvae,N1L018,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,also 2 pupae,2012/7/24,2,Isra Deblauwe,50.3649676625777,4.9985009538961
ITG:MOSQ:LARV:EL002,event,preservedSpecimen,ITG:MOSQ:LARV:EV:N1L010Ju2,adult,N1L010,male,Aedes japonicus japonicus,Aedes,japonicus japonicus,,tyres on silage,2012/7/5,1,Isra Deblauwe,50.3316001165932,5.0328486104137
ITG:MOSQ:LARV:EL003,event,preservedSpecimen,ITG:MOSQ:LARV:EV:N1L010Ju2,larvae,N1L010,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,tyres on silage,2012/7/5,6,Isra Deblauwe,50.3316001165932,5.0328486104137
ITG:MOSQ:LARV:EL004,event,preservedSpecimen,ITG:MOSQ:LARV:EV:VPL001Jun,larvae,VPL001,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,,2012/7/5,4,Isra Deblauwe,50.585328,5.259748
ITG:MOSQ:LARV:EL005,event,preservedSpecimen,ITG:MOSQ:LARV:EV:M2L001Jul,larvae,M2L001,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,a lot of small larvae,2012/7/26,37,Isra Deblauwe,50.996036,5.620467
ITG:MOSQ:LARV:EL006,event,preservedSpecimen,ITG:MOSQ:LARV:EV:M2L002Jul,larvae,M2L002,unknown,Aedes koreicus,Aedes,koreicus,,+ 1 pupa,2012/7/26,13,Isra Deblauwe,50.996695,5.621543
ITG:MOSQ:LARV:EL007,event,preservedSpecimen,ITG:MOSQ:LARV:EV:M2L003Jul,larvae,M2L003,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,a lot of small larvae,2012/7/26,27,Isra Deblauwe,50.991993,5.624796
ITG:MOSQ:LARV:EL008,event,preservedSpecimen,ITG:MOSQ:LARV:EV:M2L004Jul,larvae,M2L004,unknown,Aedes koreicus,Aedes,koreicus,,+ pupae,2012/7/26,20,Isra Deblauwe,50.989847,5.63037
ITG:MOSQ:LARV:EL009,event,preservedSpecimen,ITG:MOSQ:LARV:EV:M2L004Jul,larvae,M2L004,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,,2012/7/26,7,Isra Deblauwe,50.989847,5.63037
ITG:MOSQ:LARV:EL010,event,preservedSpecimen,ITG:MOSQ:LARV:EV:M2L009Jul,larvae,M2L009,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,"a lot of small larvae, + 5 pupae",2012/7/26,65,Isra Deblauwe,50.950262,5.56362
ITG:MOSQ:LARV:EL011,event,preservedSpecimen,ITG:MOSQ:LARV:EV:M2L010Jul,larvae,M2L010,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,1 already dead,2012/7/26,2,Isra Deblauwe,50.959876,5.56041
