"Breeding Site Code";"Subsite Code";"Site Code";"Larval Habitat Type";"Larval Habitat Surface (m²)";"Address";"Municipality";"Zip Code";"Longitude";"Latitude";"Land Cover Level 1";"Land Cover Level 2";"Land Cover Level 3";"Comments"
"3RL001";"NA";"3R";"drain channel";"0,05";"Meerkenstraat 40";"Dilsen-Stokkem";3650,00;"5,697141";"51,014011";"1 Artificial surfaces";;;
"A1L001";"NA";"A1";"bucket";"0,13";"Antwerpsebaan 58";"Antwerpen";2000,00;"4,345138072";"51,329413673";"1 Artificial surfaces";;;
"A2L001";"NA";"A2";"puddle";"1";"Koordekenshoef";"Antwerpen";2000,00;"4,395134272";"51,252230006";"1 Artificial surfaces";;;
"AOL001";"NA";"AO";"bucket";"0,13";"Nieuwpoortsesteenweg 889";"Oostende";8400,00;"2,866681";"51,203872";"1 Artificial surfaces";;;
"AOL002";"NA";"AO";"tyre";"0,05";"Nieuwpoortsesteenweg 889";"Oostende";8400,00;"2,866681";"51,203872";"1 Artificial surfaces";;;
"ATL001";"NA";"AT";"tyre";"0,1";"Kerkstraat 90";"Beveren";9210,00;"4,193505";"51,213511";"2 Agricultural areas";;;"Vrasene"
"AZL001";"NA";"AZ";"tree hole";"0,01";"Koningin Astridlaan";"Brucargo";1931,00;"4,463900394";"50,9060497033342";"1 Artificial surfaces";;;
"AZL002";"NA";"AZ";"drain channel";"0,05";"Koningin Astridlaan";"Brucargo";1931,00;"4,463900394";"50,9060497033342";"1 Artificial surfaces";;;
"DIL001";"NA";"DI";"tyre";"0,05";"Europark 1029";"Houthalen-Helchteren";3530,00;"5,398155";"51,039147";"1 Artificial surfaces";;;
"DIL002";"NA";"DI";"metal container";"4";"Europark 1029";"Houthalen-Helchteren";3530,00;"5,398104";"51,039195";"1 Artificial surfaces";;;
"E1L001";"NA";"E1";"tree hole";"0,05";"Drève de l'Arc-en-ciel";"Arlon";6700,00;"5,784194";"49,67673";"3 Forest and semi-natural areas";;;
"E2L001";"NA";"E2";"tree hole";"0,05";"Aire de Hondelange";"Messancy";6780,00;"5,830286";"49,643818";"2 Agricultural areas";;;
"E3L002";"NA";"E3";"tree hole";"0,05";"Complexe douanier";"Aubange";6790,00;"5,80532";"49,551178";"3 Forest and semi-natural areas";;;
"E7L001";"NA";"E7";"bucket";"0,13";"Paradijsstraat 40";"Rekkem";8930,00;"3,169899395";"50,765620316";"2 Agricultural areas";;;
"EBL001";"NA";"EB";"bucket";"0,13";"Hoekskensstraat 105a";"Lochristi";9080,00;"3,836114";"51,112279";"2 Agricultural areas";;;
"EBL002";"NA";"EB";"drain channel";"0,05";"Hoekskensstraat 105a";"Lochristi";9080,00;"3,836114";"51,112279";"2 Agricultural areas";;;
"EBL003";"NA";"EB";"bamboo in water";"0,5";"Hoekskensstraat 105a";"Lochristi";9080,00;"3,836114";"51,112279";"2 Agricultural areas";;;
"EPL001";"NA";"EP";"water recipient for flowers";"1";"Vlamingstraat, 1";"Wevelgem";8560,00;"3,211485304";"50,815884813";"1 Artificial surfaces";;;
"M2L001";"M2002";"M2";"dirt tracks";"6";"Steenweg naar As";"Maasmechelen";3630,00;"5,620467";"50,996036";"3 Forest and semi-natural areas";;;"next to forest M1"
"M2L002";"M2002";"M2";"tyre";"0,1";"Steenweg naar As";"Maasmechelen";3630,00;"5,621543";"50,996695";"1 Artificial surfaces";;;
"M2L003";"M2002";"M2";"rain water barrel";"0,13";"Steenweg naar As";"Maasmechelen";3630,00;"5,624796";"50,991993";"1 Artificial surfaces";;;"entrance car cemetry Armand Lowie"
