"Tube Number";"Sampling Code";"Genus";"Species";"Sex";"Number";"Box";"Storage of Box";"Status";"Identifier";"Date ID";"Comments"
"EM001";"N2M002Jun";"Anopheles";"plumbeus";"F";1;"N101";"KB25, closet 123";"No abdomen";"Isra";2012/7/5 0:00:00;"broken"
"EM002";"N1M001Jul";"Culex";"pipiens";"F";1;"N101";"KB25, closet 123";"Empty";"Isra";2012/8/6 0:00:00;
"EM003";"N1M001Jul";"Culex";"pipiens";"F";1;"N101";"KB25, closet 123";"Empty";"Isra";2012/8/6 0:00:00;
"EM004";"N1M001Jul";"Culex";"pipiens";"F";1;"N101";"KB25, closet 123";"Empty";"Isra";2012/8/6 0:00:00;
"EM005";"N1M001Jul";"Culex";"pipiens";"F";1;"N101";"KB25, closet 123";"Empty";"Isra";2012/8/6 0:00:00;
"EM006";"N1M001Jul";"Culex";"pipiens";"F";1;"N101";"KB25, closet 123";"Empty";"Isra";2012/8/6 0:00:00;
"EM007";"N1M001Jul";"Culex";"pipiens";"F";1;"N101";"KB25, closet 123";"Empty";"Isra";2012/8/6 0:00:00;
"EM008";"N1M001Jul";"Aedes";"geniculatus";"F";1;"N101";"KB25, closet 123";"Empty";"Isra";2012/8/6 0:00:00;
"EM009";"PEM011Jul";"Culex";"pipiens";"F";1;"PE01";"KB25, closet 123";"Empty";"Isra";2012/8/8 0:00:00;"no legs"
"EM010";"PEM011Jul";"Culex";"pipiens";"F";1;"PE01";"KB25, closet 123";"Empty";"Isra";2012/8/8 0:00:00;
"EM011";"PEM011Jul";"Culex";"pipiens";"F";1;"PE01";"KB25, closet 123";"Empty";"Isra";2012/8/8 0:00:00;"no legs"
"EM012";"PEM011Jul";"Culex";"pipiens";"F";1;"PE01";"KB25, closet 123";"Empty";"Isra";2012/8/8 0:00:00;"no legs"
"EM013";"PEM011Jul";"Culex";"pipiens";"F";1;"PE01";"KB25, closet 123";"Empty";"Isra";2012/8/8 0:00:00;"no legs"
"EM014";"PEM011Jul";"Culex";"pipiens";"F";1;"PE01";"KB25, closet 123";"Empty";"Isra";2012/8/8 0:00:00;
"EM015";"PEM011Jul";"Culex";"pipiens";"F";1;"PE01";"KB25, closet 123";"Empty";"Isra";2012/8/8 0:00:00;"no legs"
"EM016";"PEM011Jul";"Culex";"pipiens";"F";1;"PE01";"KB25, closet 123";"Empty";"Isra";2012/8/8 0:00:00;
"EM017";"PEM011Jul";"Culex";"pipiens";"F";1;"PE01";"KB25, closet 123";"Empty";"Isra";2012/8/8 0:00:00;
"EM018";"PEM011Jul";"Culex";"pipiens";"F";1;"PE01";"KB25, closet 123";"Empty";"Isra";2012/8/8 0:00:00;"no legs"
"EM019";"PEM011Jul";"Culex";"pipiens/torrentium?";"F";1;"PE01";"KB25, closet 123";"No abdomen";"Isra";2012/8/8 0:00:00;"no legs, head & abdomen"
