"Tube number";"Sampling Code";"Subsite Code";"Adult/Larva";"Eclosion Date A/L";"Genus";"Species";"Sex";"Number";"Box";"Storage of Box";"Identifier";"Date ID";"Comments"
"EO001";"N1PP11Jun";"N1003";"Larva";2012/6/26 0:00:00;"Culex";"pipiens/torrentium?";"NA";1;"N1";"KB25, on rack";"Isra";2012/7/5 0:00:00;"already in water of ovitrap"
"EO002";"N1P1-4Jun";"N1010";"Larva";2012/7/24 0:00:00;"Aedes";"j. japonicus";"NA";3;"N1";"KB25, on rack";"Isra";2012/7/24 0:00:00;
"EO003";"N1P1-4Jun";"N1010";"Larva";2012/7/12 0:00:00;"Aedes";"j. japonicus";"NA";1;"N1";"KB25, on rack";"Isra";2012/7/24 0:00:00;
"EO004";"N1P1-4Jun";"N1010";"Larva";2012/7/19 0:00:00;"Aedes";"j. japonicus";"NA";2;"N1";"KB25, on rack";"Isra";2012/7/24 0:00:00;
"EO005";"N1P1-1Jun";"N1010";"Larva";2012/7/12 0:00:00;"Aedes";"j. japonicus";"NA";24;"N1";"KB25, on rack";"Isra";2012/7/24 0:00:00;
"EO006";"N1PP11Jun";"N1003";"Larva";2012/7/24 0:00:00;"Aedes";"j. japonicus";"NA";3;"N1";"KB25, on rack";"Isra";2012/7/24 0:00:00;
"EO007";"N1P2-5Jun";"N108a";"Larva";2012/7/19 0:00:00;"Aedes";"j. japonicus";"NA";1;"N1";"KB25, on rack";"Isra";2012/7/24 0:00:00;"eclosion date not sure"
"EO008";"N1PP13Jun";"N1011";"Larva";2012/7/24 0:00:00;"Aedes";"j. japonicus";"NA";3;"N1";"KB25, on rack";"Isra";2012/7/24 0:00:00;"already dead, eclosion date earlier"
"EO009";"N1P1-1Jun";"N1010";"Larva";2012/7/26 0:00:00;"Aedes";"j. japonicus";"NA";20;"N1";"KB25, on rack";"Isra";2012/8/13 0:00:00;"7 pupae"
"EO010";"N1P1-1Jul";"N1010";"Larva";2012/8/6 0:00:00;"Aedes";"geniculatus";"NA";5;"N1";"KB25, on rack";"Isra";2012/8/6 0:00:00;
