"Site Code";"Site Name";"Address";"Municipality";"ZIP Code";"Longitude";"Latitutde";"Contact person";"Email";"Telephone";"Fax";"Website";"Comments";"Land Cover Level 1";"Land Cover Level 2";"Land Cover Level 3"
"3R";"Tyres Rubber recycling company 3R";"Meerkenstraat 40";"Dilsen-Stokkem";"3650";5,69;51,01;;"info@3rrubber.com#mailto:info@3rrubber.com#";"089 790 370";"089 790 371";"#http://www.3rrubber.com/route.html#";"in same industrial area as second-hand tyre companies Beltyre & Maaslandbanden";;;
"A1";"Port Antwerp Hapag lloyd";"Antwerpsebaan 58";"Antwerpen";"2000";4,34;51,32;"Carine Daniels";"Carine.Daniels@Nova.be#mailto:Carine.Daniels@Nova.be#";"03 540 50 66";;"http://www.nova.be/nl/#..\Points of entry\IRA ECDC.xls#Sheet2!K8";"Arrival wood, not possible to place nearby the fruit";;;
"A2";"Port Antwerp Nova Natie";"Koordekenshoef";"Antwerpen";"2000";4,39;51,25;"Dirk Plompen";"eddy.verhulst@hlag.com, dirk.plompen@hlag.com#mailto:eddy.verhulst@hlag.com, dirk.plompen@hlag.com#";"03 5450 602";"03 6081 602";"http://www.hapag-lloyd.com#http://www.hapag-lloyd.com/#";;;;
"AL";"Airport Liège";"PIF Liège – Bierset, SAB SA";"Grace-Hollogne";"4460";5,43;50,63;"William Luwaert";"william.luwaert@afsca.be#\\file02.itg.be\Department\Biomedical Sciences\Vector Biology\Med Ento\EXOTIC SURVEIL\Points of entry\IRA ECDC.xls#Sheet1!L3";"0478 80 99 32";;"#http://www.liegeairport.com/fr/cargo#";"Aviapartner hangar, arrival vegetables, fruits and flowers";"1 Artificial surfaces";;
"AO";"Airport Ostend";"Nieuwpoortsesteenweg 889";"Oostende";"8400";2,86;51,20;"Gino Vanspauwen";"gino.vanspauwen@mow.vlaanderen.be#mailto:gino.vanspauwen@mow.vlaanderen.be#";"059 56 37 10";;"http://www.aviapartner.aero/en/network/belgium/ostend-(ost)#..\Points of entry\IRA ECDC.xls#Sheet1!M4";"Aviapartner hangar, arrival vegetables, fruits and flowers";"1 Artificial surfaces";;
"AT";"Tyres ATB banden";"Kerkstraat 90";"Beveren";"9210";4,19;51,21;"Nancy Staessens";" nancy@atb.eu#mailto: nancy@atb.eu#";"03 755 09 45";"03 755 09 46";"http://www.atbtires.be/index.aspx#..\Points of entry\IRA ECDC.xls#Sheet2!K9";"Vrasene";;;
"AZ";"Airport Zaventem";"Brucargo building 706, BP 36 - Kamer 7307";"Brucargo";"1931";4,46;50,90;"Alfons Van Diest";"'johan.de.berdt@brusselsairport.be; ALFONS.VANDIEST@favv.be#mailto:'";"02 753 56 48";"02 753 56 46";"http://www.brucargoairfreight.be/nl/wereldwijd-netwerk/#\\file02.itg.be\Department\Biomedical Sciences\Vector Biology\Med Ento\EXOTIC SURVEIL\Points of entry\IRA ECDC.xls#Sheet1!M2";"Swiss Port hangar, arrival vegetables and fruits";"1 Artificial surfaces";;
"DI";"Tyres Diroco International";"Europark 1029";"Houthalen-Helchteren";"3530";5,39;51,03;"Dirk Rijmenams";"diroco@skynet.be#..\Points of entry\IRA ECDC.xls#Sheet2!J12";"011 60 57 17";"011 60 57 17";"#http://www.diroco.be#";;;;
"E1";"Parking Best Western Hotel";"Drève de l'Arc-en-ciel";"Arlon";"6700";5,78;49,67;"Marlene Jacobs";;"0477 80 08 57";;"http://www.autogrill.be/nl/index3.cfm?PageID=7&SubPageID=31#..\Points of entry\IRA ECDC.xls#Sheet1!M28";;;;
"E2";"Parking AC Hotel";"Aire de Hondelange";"Messancy";"6780";5,83;49,64;"Marlene Jacobs";;"0477 80 08 57";;"http://www.autogrill.be/nl/index3.cfm?PageID=7&SubPageID=31#..\Points of entry\IRA ECDC.xls#Sheet1!M28";;;;
"E3";"Parking Hôtel - Restaurant Le Pôle Européen";"Complexe douanier";"Aubange";"6790";5,80;49,55;;;" 063 38 01 20";" 063 38 01 21";"http://www.hotel-pole-europeen.com/frame2.html#..\Points of entry\IRA ECDC.xls#Sheet1!M30";;;;
"E7";"Parking Inter Restaurant";"Paradijsstraat 40";"Rekkem";"8930";3,16;50,76;;"inter-national@skynet.be#mailto:inter-national@skynet.be#";"056 410096";;;;;;
