Name,User,Startdate,Enddate,trap_type,trap_code,trap_status,PBS_code,PBS_type,number_containers,Field_visit_completed,remarks,contact_person_name,contact_person_email,contact_person_tel,contact_remarks,PoE_name,PoE_code,PoE_type,PoE_street,PoE_municipality,PoE_website,PoE_remarks
M17HAO262OKT30,Isra Deblauwe,30-10-2017 01:00:00,27-11-2017 07:51:24,Oviposition trap,O262,OK,,,,Yes,,Robert Havelange,info@havelange.com,083 21 10 59,,Ets Havelange Robert SPRL,HA,Used tyre import company,Rue de Lenny 103,Natoye,http://www.havelange.com/,
M17ALO254OKT06,Isra Deblauwe,06-10-2017 02:00:00,03-11-2017 11:14:43,Oviposition trap,O254,OK,,,,Yes,,William Luwaert,william.luwaert@afsca.be,0478 80 99 32,,Liège Airport (Avia-partner),AL,Airport,"PIF Liège – Bierset, SAB SA",Grâce-Hologne,http://www.liegeairport.com/fr/cargo,"Aviapartner hangar, arrival vegetables, fruits and flowers, fixed day contact in advance (1h)"
M17ABO019OKT24,Isra Deblauwe,24-10-2017 02:00:00,21-11-2017 10:37:03,Oviposition trap,O019,OK,,,,Yes,,Hans Bernaert (zaakvoerder),agrityre@1261.be,03 730 20 00,,Agrityre (AtoB),AB,Used tyre import company,Hazopweg 1261,Kallo,http://www.agrityre.be/index.html,zelfde zaakvoerder als ATB
M17ATO003AUG29,Isra Deblauwe,29-08-2017 02:00:00,26-09-2017 09:06:32,Oviposition trap,O003,OK,,,,Yes,,Hans Bernaert (zaakvoerder),hans@atb.eu,03 755 09 45,,ATB Banden,AT,Used tyre import company,Kerkstraat 90,Vrasene,http://www.atb.eu/,"Vrasene; Friday before 15h, other days?"
M17E4O173AUG22,Isra Deblauwe,22-08-2017 02:00:00,19-09-2017 10:42:54,Oviposition trap,O173,OK,,,,Yes,,,H6322@accor.com ,087 85 11 00,,E40 (A3) Hotel Ibis (Raeren),E4,Parking lot,Aire de repos de Lichtenbusch Autoroute E40 n°4,Raeren,https://www.accorhotels.com/nl/hotel-6322-ibis-budget-aachen-raeren-grenze/index.shtml#section-location ,
M17EBM035OKT25,Isra Deblauwe,25-10-2017 02:00:00,08-11-2017 10:01:10,Mosquito Magnet trap,M035,OK,,,,Yes,,Marc Makelberge,info@eurobonsai.be,09 356 80 28,,Euro Bonsai,EB,Lucky bamboo company,Hoekskensstraat 105a,Lochristi,http://www.eurobonsai.be/,
M17PZM036OKT11,Isra Deblauwe,11-10-2017 02:00:00,25-10-2017 08:00:05,Mosquito Magnet trap,M036,Stopped working,,,,Yes,"red led flashing, 25/10, change tank + octenol, wait 10min, green led ",Van De Pitte Jan,,050 36 74 40,FAVV: Lieven Van De Wiele (PCE West-Vlaanderen: 050 30 37 14); Haven: Marieke Oosterloo (Harbour master's office: hkd@mbz.be); business intelligence director: Patrick Van Cauwenberghe (pvc@mbz.be),Port of Zeebrugge,PZ,Port,Werfkaai,Zeebrugge,,
M17EBL003SEP13,Isra Deblauwe,13-09-2017 02:00:00,13-09-2017 11:06:50,Larval sampling,,,ebl003,Creek,1,Yes,difficult to access,Marc Makelberge,info@eurobonsai.be,09 356 80 28,,Euro Bonsai,EB,Lucky bamboo company,Hoekskensstraat 105a,Lochristi,http://www.eurobonsai.be/,
M17ATM033OKT24,Isra Deblauwe,24-10-2017 02:00:00,07-11-2017 10:40:04,Mosquito Magnet trap,M033,Stopped working,,,,Yes,"green ref led flashing, change battery, perge, wait 1/2h, restart, wait 2h, green led",Hans Bernaert (zaakvoerder),hans@atb.eu,03 755 09 45,,ATB Banden,AT,Used tyre import company,Kerkstraat 90,Vrasene,http://www.atb.eu/,"Vrasene; Friday before 15h, other days?"
M17HAO268SEP04,Isra Deblauwe,04-09-2017 02:00:00,02-10-2017 10:40:25,Oviposition trap,O268,OK,,,,Yes,,Robert Havelange,info@havelange.com,083 21 10 59,,Ets Havelange Robert SPRL,HA,Used tyre import company,Rue de Lenny 103,Natoye,http://www.havelange.com/,
M17RAO140AUG22,Isra Deblauwe,22-08-2017 02:00:00,20-09-2017 15:47:07,Oviposition trap,O140,OK,,,,Yes,,,,,,Rocherath cemetry,RA,Cemetry,Hauptstrasse 20,Raeren,,
M17MBB014NOV15,Isra Deblauwe,15-11-2017 01:00:00,28-11-2017 08:34:55,BG-Sentinel trap,B014,OK,,,,Yes,,Maurice (zaakvoerder) of Jan Broums (chef werkplaats),sales@maaslandbanden.be,089 65 68 33,,Maaslandbanden,MB,Used tyre import company,Meerkensstraat 41,Dilsen-Stokkem,http://www.maaslandbanden.com/,
M17HAO305OKT02,Isra Deblauwe,02-10-2017 02:00:00,30-10-2017 12:59:08,Oviposition trap,O305,Polystyrene gone,,,,Yes,,Robert Havelange,info@havelange.com,083 21 10 59,,Ets Havelange Robert SPRL,HA,Used tyre import company,Rue de Lenny 103,Natoye,http://www.havelange.com/,
M17MBO187SEP05,Isra Deblauwe,05-09-2017 02:00:00,03-10-2017 12:12:59,Oviposition trap,O187,Polystyrene gone,,,,Yes,,Maurice (zaakvoerder) of Jan Broums (chef werkplaats),sales@maaslandbanden.be,089 65 68 33,,Maaslandbanden,MB,Used tyre import company,Meerkensstraat 41,Dilsen-Stokkem,http://www.maaslandbanden.com/,
