collectionCode;disposition;originalNameUsage;scientificName;genus;specificEpithet;type;language;license;rightsHolder;accessRights;institutionCode;datasetName;ownerInstitutionCode;basisOfREcord;countryCode;geodeticDatum;kingdom;nomenclaturalCode;eventDate;day;month;year;dateLength;locality;localityLatitude;LocalityLongitude;municipality;verbatimCoordinates;recordedBy;identifiedBy;sex;lifestage;preparations;Veld12;catalogNumber;occurrenceID;georeferenceRemarks;stateProvince;verbatimLongitude;verbatimlatitude;TAG;POINT_X;POINT_Y;decimalLongitude;decimalLatitude
RBINS Insect Collection;in collection;Aedes cinereus Meigen, 1818;Aedes cinereus;Aedes;cinereus;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;10/06/1909;10;6;1909;true;;;;Destelbergen;ES55B;Maurice E. M. Goetghebuer;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-5-Culi-6;1;RBINS:modirisk:collection:1;centroid of respective UTM square given;East Flanders;11.157.744.240.000.000;19.525.221.279.999.900;ES55B;1.115.774.424;1.952.522.128;38.206.169.257.590.400;5.106.613.746.522.110
RBINS Insect Collection;in collection;Aedes cinereus Meigen, 1818;Aedes cinereus;Aedes;cinereus;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;23/07/1917;23;7;1917;true;Genval;507.211;449.388;Rixensart;FS02D;André Léon Tonnoir;André Léon Tonnoir;Male;Adult;Whole mount;3C-5-Culi-6;2;RBINS:modirisk:collection:2;centroid of respective UTM square given;Brabant Wallon;16.093.475.850.000.200;15.932.250.360.000.100;FS02D;1.609.347.585;1.593.225.036;4.523.679.733.033.980;50.744.320.946.323.300
RBINS Insect Collection;in collection;Aedes cinereus Meigen, 1818;Aedes cinereus;Aedes;cinereus;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;jul/22;;7;1922;true;Abdij van Postel;;;Mol;FS58C;Guilliaume Severin;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-5-Culi-6;3;RBINS:modirisk:collection:3;centroid of respective UTM square given;Antwerp;20.705.183.349.999.700;2.184.847.379;FS58C;2.070.518.335;2.184.847.379;5.186.294.567.506.460;5.127.340.790.203.180
RBINS Insect Collection;in collection;Aedes cinereus Meigen, 1818;Aedes cinereus;Aedes;cinereus;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;9/06/1920;9;6;1920;true;;;;Destelbergen;ES55B;;André Léon Tonnoir;Male;Adult;Whole mount;3C-5-Culi-6;4;RBINS:modirisk:collection:4;centroid of respective UTM square given;East Flanders;11.157.744.240.000.000;19.525.221.279.999.900;ES55B;1.115.774.424;1.952.522.128;38.206.169.257.590.400;5.106.613.746.522.110
RBINS Insect Collection;in collection;Aedes cinereus Meigen, 1818;Aedes cinereus;Aedes;cinereus;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;9/06/1920;9;6;1920;true;;;;Destelbergen;ES55B;;André Léon Tonnoir;Female;Adult;Whole mount;3C-5-Culi-6;5;RBINS:modirisk:collection:5;centroid of respective UTM square given;East Flanders;11.157.744.240.000.000;19.525.221.279.999.900;ES55B;1.115.774.424;1.952.522.128;38.206.169.257.590.400;5.106.613.746.522.110
RBINS Insect Collection;in collection;Anopheles atroparvus Van Thiel, 1927;Anopheles atroparvus;Anopheles;atroparvus;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;16/07/1941;16;7;1941;true;Zandvliet;5.135.964.999.999.990;430.716;Antwerpen;ES99C;;M. Lips;Male;Adult;Whole mount;3C-3-Culi-6;6;RBINS:modirisk:collection:6;centroid of respective UTM square given;Antwerp;14.723.404.649.999.700;22.960.805.750.000.100;ES99C;1.472.340.465;2.296.080.575;43.290.379.466.488.000;5.137.620.575.239.300
RBINS Insect Collection;in collection;Anopheles atroparvus Van Thiel, 1927;Anopheles atroparvus;Anopheles;atroparvus;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;16/07/1941;16;7;1941;true;Zandvliet;5.135.964.999.999.990;430.716;Antwerpen;ES99C;;M. Lips;Female;Adult;Whole mount;3C-3-Culi-6;7;RBINS:modirisk:collection:7;centroid of respective UTM square given;Antwerp;14.723.404.649.999.700;22.960.805.750.000.100;ES99C;1.472.340.465;2.296.080.575;43.290.379.466.488.000;5.137.620.575.239.300
RBINS Insect Collection;in collection;Anopheles atroparvus Van Thiel, 1927;Anopheles atroparvus;Anopheles;atroparvus;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;aug/40;;8;1940;true;;;;Ramskapelle;ES18B;;M. Lips;Male;Adult;Whole mount;3C-3-Culi-6;8;RBINS:modirisk:collection:8;centroid of respective UTM square given;;7.212.343.349.999.930;22.599.905.160.000.100;ES18B;721.234.335;2.259.990.516;3.251.229.494.419.810;5.133.851.408.667.620
RBINS Insect Collection;in collection;Anopheles atroparvus Van Thiel, 1927;Anopheles atroparvus;Anopheles;atroparvus;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;aug/40;;8;1940;true;;;;Ramskapelle;ES18B;;M. Lips;Female;Adult;Whole mount;3C-3-Culi-6;9;RBINS:modirisk:collection:9;centroid of respective UTM square given;;7.212.343.349.999.930;22.599.905.160.000.100;ES18B;721.234.335;2.259.990.516;3.251.229.494.419.810;5.133.851.408.667.620
RBINS Insect Collection;in collection;Anopheles atroparvus Van Thiel, 1927;Anopheles atroparvus;Anopheles;atroparvus;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;aug/40;;8;1940;true;;;;Ramskapelle;ES18B;;M. Lips;Female;Adult;Whole mount;3C-3-Culi-6;10;RBINS:modirisk:collection:10;centroid of respective UTM square given;;7.212.343.349.999.930;22.599.905.160.000.100;ES18B;721.234.335;2.259.990.516;3.251.229.494.419.810;5.133.851.408.667.620
RBINS Insect Collection;in collection;Anopheles claviger (Meigen, 1804);Anopheles claviger;Anopheles;claviger;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;13/05/1910;13;5;1910;true;;;;Gent;ES55A;Maurice E. M. Goetghebuer;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-3-Culi-6;11;RBINS:modirisk:collection:11;centroid of respective UTM square given;East Flanders;10.657.654.039.999.800;19.534.479.320.000.100;ES55A;1.065.765.404;1.953.447.932;37.492.658.563.690.600;5.106.661.661.343.590
RBINS Insect Collection;in collection;Anopheles claviger (Meigen, 1804);Anopheles claviger;Anopheles;claviger;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;13/05/1910;13;5;1910;true;;;;Gent;ES55A;Maurice E. M. Goetghebuer;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-3-Culi-6;12;RBINS:modirisk:collection:12;centroid of respective UTM square given;East Flanders;10.657.654.039.999.800;19.534.479.320.000.100;ES55A;1.065.765.404;1.953.447.932;37.492.658.563.690.600;5.106.661.661.343.590
RBINS Insect Collection;in collection;Anopheles claviger (Meigen, 1804);Anopheles claviger;Anopheles;claviger;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;13/05/1910;13;5;1910;true;;;;Gent;ES55A;Maurice E. M. Goetghebuer;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-3-Culi-6;13;RBINS:modirisk:collection:13;centroid of respective UTM square given;East Flanders;10.657.654.039.999.800;19.534.479.320.000.100;ES55A;1.065.765.404;1.953.447.932;37.492.658.563.690.600;5.106.661.661.343.590
RBINS Insect Collection;in collection;Anopheles claviger (Meigen, 1804);Anopheles claviger;Anopheles;claviger;Event;en;https://creativecommons.org/licenses/by-nc/4.0/;RBINS;http://www.inbo.be/en/norms-for-data-use;RBINS;MODIRISK:RBINS Diptera: Culicidae Collection;RBINS;PreservedSpecimen;BE;WGS84;Animalia;ICZN;18/09/1909;18;9;1909;true;Sint-Amandsberg;510.593.304;37.509.905;Gent;ES55A;Maurice E. M. Goetghebuer;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-3-Culi-6;14;RBINS:modirisk:collection:14;centroid of respective UTM square given;East Flanders;10.657.654.039.999.800;19.534.479.320.000.100;ES55A;1.065.765.404;1.953.447.932;37.492.658.563.690.600;5.106.661.661.343.590
