collectionCode;datasetName;basisOfRecord;occurrenceID;recordedBy;sex;lifeStage;eventDate;year;yearPeriod;month;day;municipality;locality;decimalLatitude;decimalLongitude;geodeticDatum;identifiedBy;scientificName;kingdom
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:134;Henri Donckier de Donceel;Female;Adult;9/6/1878;1878;< 1900;6;9;Andenne;Vezin;5.051.209.868.070.500;500.986.800.474.165;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:135;Henri Donckier de Donceel;Female;Adult;9/6/1878;1878;< 1900;6;9;Andenne;Vezin;5.051.209.868.070.500;500.986.800.474.165;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:202;J. Jacobs;Female;Adult;11/7/1881;1881;< 1900;7;11;Hoeilaart;;5.074.522.524.612.740;445.283.584.283.968;WGS84;J. Jacobs;Ochlerotatus cantans;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:224;J. Jacobs;Male;Adult;14/7/1881;1881;< 1900;7;14;Hoeilaart;;5.074.522.524.612.740;445.283.584.283.968;WGS84;J. Jacobs;Ochlerotatus punctor;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:41;E. Coucke;Female;Adult;1/4/1892;1892;< 1900;4;1;Brussel;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:51;E. Coucke;Male;Adult;10/8/1892;1892;< 1900;8;10;;Hertogenwald;5.058.249.072.638.910;6.068.856.764.674.360;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:52;E. Coucke;Female;Adult;10/8/1892;1892;< 1900;8;10;;Hertogenwald;5.058.249.072.638.910;6.068.856.764.674.360;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:64;E. Coucke;Female;Adult;13/5/1892;1892;< 1900;5;13;Ixelles;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:71;E. Coucke;Female;Adult;15/4/1892;1892;< 1900;4;15;Sint-Lambrechts-Woluwe;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:72;E. Coucke;Female;Adult;15/4/1892;1892;< 1900;4;15;Sint-Lambrechts-Woluwe;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:78;E. Coucke;Female;Adult;18/3/1892;1892;< 1900;3;18;Ixelles;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:84;;Female;Adult;2/4/1892;1892;< 1900;4;2;Ixelles;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;;Culex pipiens;Animalia
RBINS Insect Collection;MODIRISK:RBINS Diptera: Culicidae Collection;PreservedSpecimen;RBINS:modirisk:collection:85;E. Coucke;Female;Adult;2/4/1892;1892;< 1900;4;2;Brussel;;5.083.598.850.241.610;4.384.642.333.258.970;WGS84;Maurice E. M. Goetghebuer;Culex pipiens;Animalia
