type,language,license,eventID,rightsHolder,accessRights,institutionCode,datasetName,datasetID,ownerInstitutionCode,countryCode,Municipality,locality,parentEventID,eventDate,verbatimEventDate,day,month,year,enddate,samplingProtocol,eventRemarks,verbatimLongitude,verbatimLatitude,decimalLongitude,decimalLatitude,geodeticDatum
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Natoye:NT1:1,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Natoye,NT1,Natoye:NT1,1-06-2009,1-06-2009/3-06-2009,1,6,2009,3-06-2009,Gravid traps,{trapNumber:2},"  5 ° 2'42.27"""," 50 °20'19.13""",5.045,50.338611,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Natoye:NT1:10,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Natoye,NT1,Natoye:NT1,5-10-2009,5-10-2009/7-10-2009,5,10,2009,7-10-2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},"  5 ° 2'42.27"""," 50 °20'19.13""",5.045,50.338611,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Natoye:NT1:2,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Natoye,NT1,Natoye:NT1,15-06-2009,15-06-2009/17-06-2009,15,6,2009,17-06-2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},"  5 ° 2'42.27"""," 50 °20'19.13""",5.045,50.338611,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Natoye:NT1:3,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Natoye,NT1,Natoye:NT1,29-06-2009,29-06-2009/1-07-2009,29,6,2009,1-07-2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},"  5 ° 2'42.27"""," 50 °20'19.13""",5.045,50.338611,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Natoye:NT1:4,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Natoye,NT1,Natoye:NT1,13-07-2009,13-07-2009/15-07-2009,13,7,2009,15-07-2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},"  5 ° 2'42.27"""," 50 °20'19.13""",5.045,50.338611,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Natoye:NT1:5,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Natoye,NT1,Natoye:NT1,27-07-2009,27-07-2009/29-07-2009,27,7,2009,29-07-2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},"  5 ° 2'42.27"""," 50 °20'19.13""",5.045,50.338611,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Natoye:NT1:6,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Natoye,NT1,Natoye:NT1,10-08-2009,10-08-2009/12-08-2009,10,8,2009,12-08-2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},"  5 ° 2'42.27"""," 50 °20'19.13""",5.045,50.338611,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Natoye:NT1:7,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Natoye,NT1,Natoye:NT1,24-08-2009,24-08-2009/26-08-2009,24,8,2009,26-08-2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},"  5 ° 2'42.27"""," 50 °20'19.13""",5.045,50.338611,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Natoye:NT1:8,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Natoye,NT1,Natoye:NT1,7-09-2009,7-09-2009/9-09-2009,7,9,2009,9-09-2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},"  5 ° 2'42.27"""," 50 °20'19.13""",5.045,50.338611,WGS84
event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:Natoye:NT1:9,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",http://ipt.biodiversity.be/resource.do?r=modirisk-longitudinal-culicidae-study,RBINS,BE,Natoye,NT1,Natoye:NT1,21-09-2009,21-09-2009/23-09-2009,21,9,2009,23-09-2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},"  5 ° 2'42.27"""," 50 °20'19.13""",5.045,50.338611,WGS84
