id	type	license	institutionCode	basisOfRecord	dynamicProperties	occurrenceID	individualCount	sex	samplingProtocol	eventDate	year	verbatimEventDate	habitat	continent	country	countryCode	stateProvince	municipality	locality	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	identifiedBy	scientificName	genus	specificEpithet
MODIRISK:43	Event	CC BY 2.0 BE	ITM	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=false;Landscape=urban	MODIRISK:43	3	Female	Mosquito Magnet Liberty Plus	2007-05-06	2007	2007-05-06/2007-05-13	urban	Europe	Belgium	BE	Limburg	Gruitrode			51.094310759999999	5.58190012000000024	EPSG:4326	Veerle	Anopheles plumbeus	Anopheles	plumbeus
MODIRISK:48	Event	CC BY 2.0 BE	ITM	HumanObservation	Stagnant water=true;Running water=false;Potential breeding site=false;Landscape=urban	MODIRISK:48	1	Female	Mosquito Magnet Liberty Plus	2007-05-20	2007	2007-05-20/2007-05-27	agriculture	Europe	Belgium	BE	Limburg	Diepenbeek		wijk in de buurt van landbouw, achter tuin visvijvers (privé) en poelen	50.9317817700000006	5.40224981300000007	EPSG:4326	Veerle	Ochlerotatus cantans	Ochlerotatus	cantans
MODIRISK:49	Event	CC BY 2.0 BE	ITM	HumanObservation	Stagnant water=true;Running water=false;Potential breeding site=false;Landscape=urban	MODIRISK:49	6	Female	Mosquito Magnet Liberty Plus	2007-05-20	2007	2007-05-20/2007-05-27	agriculture	Europe	Belgium	BE	Limburg	Diepenbeek		wijk in de buurt van landbouw, achter tuin visvijvers (privé) en poelen	50.9317817700000006	5.40224981300000007	EPSG:4326	Veerle	Culex pipiens	Culex	pipiens
MODIRISK:50	Event	CC BY 2.0 BE	ITM	HumanObservation	Stagnant water=true;Running water=false;Potential breeding site=false;Landscape=urban	MODIRISK:50	1	Male	Mosquito Magnet Liberty Plus	2007-05-20	2007	2007-05-20/2007-05-27	agriculture	Europe	Belgium	BE	Limburg	Diepenbeek		wijk in de buurt van landbouw, achter tuin visvijvers (privé) en poelen	50.9317817700000006	5.40224981300000007	EPSG:4326	Veerle	Culex pipiens	Culex	pipiens
MODIRISK:51	Event	CC BY 2.0 BE	ITM	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=false;Landscape=peri-urban	MODIRISK:51	1	Female	Mosquito Magnet Liberty Plus	2007-05-20	2007	2007-05-20/2007-05-20	agriculture	Europe	Belgium	BE	Limburg	Velm	Langstraat	val uitgezet (gas dichtgedraaid)	50.7877693200000024	5.14778995500000036	EPSG:4326	Veerle	Culex pipiens	Culex	pipiens
MODIRISK:52	Event	CC BY 2.0 BE	ITM	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=false;Landscape=peri-urban	MODIRISK:52	1	Female	Mosquito Magnet Liberty Plus	2007-05-13	2007	2007-05-13/2007-05-13	agriculture	Europe	Belgium	BE	Limburg	Millen	Kleuzenstraat		50.805751800000003	5.63478994400000044	EPSG:4326	Veerle	Culex pipiens	Culex	pipiens
MODIRISK:53	Event	CC BY 2.0 BE	ITM	HumanObservation	Stagnant water=true;Running water=true;Potential breeding site=true;Landscape=rural	MODIRISK:53	1	Female	Mosquito Magnet Liberty Plus	2007-05-13	2007	2007-05-13/2007-05-20	agriculture	Europe	Belgium	BE	Limburg	Lanaken	22 Romeinendreef	ancient heathland	50.9133911099999992	5.66334009200000033	EPSG:4326	Veerle	Ochlerotatus communis	Ochlerotatus	communis
MODIRISK:54	Event	CC BY 2.0 BE	ITM	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=true;Landscape=peri-urban	MODIRISK:54	2	Female	Mosquito Magnet Liberty Plus	2007-05-27	2007	2007-05-27/2007-06-03	agriculture	Europe	Belgium	BE	Limburg	Mielen-Boven-Aalst	Veertstraat		50.7654914900000023	5.21426010099999981	EPSG:4326	Veerle	Culex pipiens	Culex	pipiens
MODIRISK:55	Event	CC BY 2.0 BE	ITM	HumanObservation	Stagnant water=false;Running water=false;Potential breeding site=true;Landscape=peri-urban	MODIRISK:55	1	Male	Mosquito Magnet Liberty Plus	2007-05-27	2007	2007-05-27/2007-06-03	agriculture	Europe	Belgium	BE	Limburg	Mielen-Boven-Aalst	Veertstraat		50.7654914900000023	5.21426010099999981	EPSG:4326	Veerle	Culex pipiens	Culex	pipiens
MODIRISK:56	Event	CC BY 2.0 BE	ITM	HumanObservation	Stagnant water=false;Running water=true;Potential breeding site=false;Landscape=peri-urban	MODIRISK:56	1	Female	Mosquito Magnet Liberty Plus	2007-05-06	2007	2007-05-06/2007-05-13	agriculture	Europe	Belgium	BE	Limburg	Peer	5 Nieuwdorp	potential breeding site = not clear	51.0927314799999976	5.45711994200000028	EPSG:4326	Veerle	Culex pipiens	Culex	pipiens
