species;year
Culiseta annulata;2010
Culiseta annulata;2010
Aedes cantans;2010
Aedes cantans;2010
Culex pipiens;2010
Aedes rusticus;2010
Coquillettidia richiardii;2010
Culex pipiens;2010
Coquillettidia richiardii;2010
Aedes rusticus;2010
Aedes cantans;2010
Aedes communis;2010
Aedes cantans;2010
Culex pipiens;2010
Culex pipiens;2010
Culex pipiens;2010
Culiseta annulata;2010
Culex pipiens;2010
Culex pipiens;2010
Aedes geniculatus;2010
Aedes rusticus;2010
Aedes communis;2010
Culiseta annulata;2010
Aedes rusticus;2010
Culex pipiens;2010
Culex pipiens;2010
Aedes punctor;2010
Aedes punctor;2010
Aedes geniculatus;2010
Culex pipiens;2010
Aedes cantans;2010
Anopheles maculipennis;2010
Aedes cinereus;2010
Aedes communis;2010
Culex pipiens;2010
;2010
Aedes communis;2010
Culex pipiens;2010
Culex pipiens;2010
Aedes rusticus;2010
Culex pipiens;2010
Culex pipiens;2010
Aedes cantans;2010
Aedes rusticus;2010
Anopheles maculipennis;2010
Culex pipiens;2010
Aedes cantans;2010
Aedes communis;2010
Aedes cantans;2010
Culex pipiens;2010
Culiseta annulata;2010
Aedes rusticus;2010
Aedes cantans;2010
Aedes communis;2010
Culex pipiens;2010
Aedes cantans;2010
Culiseta annulata;2010
Aedes cantans;2010
Aedes rusticus;2010
Aedes cantans;2010
Aedes detritus;2010
Aedes cinereus;2010
Culex pipiens;2010
Aedes cantans;2010
Culex pipiens;2010
Aedes koreicus;2010
Aedes communis;2010
Anopheles plumbeus;2010
Culex pipiens;2010
Culex pipiens;2010
Culiseta morsitans;2010
Aedes geniculatus;2010
Aedes cantans;2010
Coquillettidia richiardii;2010
Culiseta annulata;2010
Aedes cantans;2010
Aedes geniculatus;2010
Culex pipiens;2010
Aedes cinereus;2010
;2010
Culiseta fumipennis;2010
Aedes communis;2010
Aedes cinereus;2010
Aedes cantans;2010
Aedes punctor;2010
Aedes cantans;2010
Culex pipiens;2010
Aedes punctor;2010
