occurrenceID,type,language,license,eventID,rightsHolder,accessRights,institutionCode,datasetName,ownerInstitutionCode,basisOfREcord,countryCode,Municipality,kingdom,nomenclaturalCode,locality,parentEventID,eventDate,end date,samplingProtocol,eventRemarks,scientificName,genus,specificEpithet,individualCount,verbatimLongitude,verbatimLatitude,decimalLongitude,decimalLattitude,geodeticDatum
modirisk:long:monit:1,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:1,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,20/04/2009,22/04/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},Anopheles claviger,Anopheles,claviger,3,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:2,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:1,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,20/04/2009,22/04/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},Anopheles claviger,Anopheles,claviger,5,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:3,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:1,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,20/04/2009,22/04/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},Culex pipiens,Culex,pipiens,2,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:4,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:1,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,20/04/2009,22/04/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},Ochlerotatus cantans,Ochlerotatus,cantans,2,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:5,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:2,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,4/05/2009,6/05/2009,BG Sentinel ,{trapNumber:1},Culiseta annulata,Culiseta,annulata,1,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:6,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:2,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,4/05/2009,6/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},Aedes cinereus/geminus,Aedes,cinereus/geminus,3,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:7,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:2,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,4/05/2009,6/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},Aedes cinereus/geminus,Aedes,cinereus/geminus,1,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:8,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:2,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,4/05/2009,6/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},Anopheles claviger,Anopheles,claviger,1,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:9,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:2,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,4/05/2009,6/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:2},Anopheles claviger,Anopheles,claviger,1,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
modirisk:long:monit:10,event,en,https://creativecommons.org/licenses/by-nc/4.0/,modirisk:maasmechelen:mA1:2,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,"MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study",RBINS,humanObservation,BE,Maasmechelen,Animalia,ICZN,MA1,Maasmechelen:MA1,4/05/2009,6/05/2009,Mosquito Magnet Liberty Plus (MMLP) ,{trapNumber:1},Culiseta morsitans,Culiseta,morsitans,1,"  5°37'8.77"""," 50°59'42.03""",5.618889,50.995,WGS84
