occurrenceID,license,institutionCode,datasetName,type,rightsHolder,language,eventID,subsiteCode,lifeStage,scientificName,occurrenceRemarks,genus,sex,individualCount,IdentifiedBy,siteCode,samplingProtocol1,samplingProtocol,TrapCode,eventDate,verbatimEventDate,locality,municipality,decimalLongitude,decimalLatitude
ITG:MOSQ:SAMPL:EM001,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:N2M002Jun,noCode,unknown,Anopheles plumbeus,,Anopheles,female,1,Isra Deblauwe,N2,MosquitoMagnet,Mosquito Magnet Liberty Plus,M002,2012/6/5,2012/6/5 0:00:00/2012/6/26 0:00:00,Tyres Sarri Pneus,Hamois,5.0716363022496,50.3358627277969
ITG:MOSQ:SAMPL:EM002,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:N1M001Jul,noCode,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,N1,MosquitoMagnet,Mosquito Magnet Liberty Plus,M001,2012/7/27,2012/7/27 0:00:00/2012/8/3 0:00:00,Tyres Havelange,Hamois,5.0457397,50.339200617
ITG:MOSQ:SAMPL:EM003,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:N1M001Jul,noCode,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,N1,MosquitoMagnet,Mosquito Magnet Liberty Plus,M001,2012/7/27,2012/7/27 0:00:00/2012/8/3 0:00:00,Tyres Havelange,Hamois,5.0457397,50.339200617
ITG:MOSQ:SAMPL:EM004,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:N1M001Jul,noCode,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,N1,MosquitoMagnet,Mosquito Magnet Liberty Plus,M001,2012/7/27,2012/7/27 0:00:00/2012/8/3 0:00:00,Tyres Havelange,Hamois,5.0457397,50.339200617
ITG:MOSQ:SAMPL:EM005,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:N1M001Jul,noCode,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,N1,MosquitoMagnet,Mosquito Magnet Liberty Plus,M001,2012/7/27,2012/7/27 0:00:00/2012/8/3 0:00:00,Tyres Havelange,Hamois,5.0457397,50.339200617
ITG:MOSQ:SAMPL:EM006,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:N1M001Jul,noCode,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,N1,MosquitoMagnet,Mosquito Magnet Liberty Plus,M001,2012/7/27,2012/7/27 0:00:00/2012/8/3 0:00:00,Tyres Havelange,Hamois,5.0457397,50.339200617
ITG:MOSQ:SAMPL:EM007,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:N1M001Jul,noCode,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,N1,MosquitoMagnet,Mosquito Magnet Liberty Plus,M001,2012/7/27,2012/7/27 0:00:00/2012/8/3 0:00:00,Tyres Havelange,Hamois,5.0457397,50.339200617
ITG:MOSQ:SAMPL:EM008,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:N1M001Jul,noCode,unknown,Aedes geniculatus,,Aedes,female,1,Isra Deblauwe,N1,MosquitoMagnet,Mosquito Magnet Liberty Plus,M001,2012/7/27,2012/7/27 0:00:00/2012/8/3 0:00:00,Tyres Havelange,Hamois,5.0457397,50.339200617
ITG:MOSQ:SAMPL:EM009,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:PEM011Jul,noCode,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,PE,MosquitoMagnet,Mosquito Magnet Liberty Plus,M011,2012/7/10,2012/7/10 0:00:00/2012/7/17 0:00:00,Shelter Petrivo,Sint-Katelijne-Waver,4.507211631,51.055363237
ITG:MOSQ:SAMPL:EM010,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:PEM011Jul,noCode,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,PE,MosquitoMagnet,Mosquito Magnet Liberty Plus,M011,2012/7/10,2012/7/10 0:00:00/2012/7/17 0:00:00,Shelter Petrivo,Sint-Katelijne-Waver,4.507211631,51.055363237
ITG:MOSQ:SAMPL:EM011,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:PEM011Jul,noCode,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,PE,MosquitoMagnet,Mosquito Magnet Liberty Plus,M011,2012/7/10,2012/7/10 0:00:00/2012/7/17 0:00:00,Shelter Petrivo,Sint-Katelijne-Waver,4.507211631,51.055363237
ITG:MOSQ:SAMPL:EM012,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:PEM011Jul,noCode,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,PE,MosquitoMagnet,Mosquito Magnet Liberty Plus,M011,2012/7/10,2012/7/10 0:00:00/2012/7/17 0:00:00,Shelter Petrivo,Sint-Katelijne-Waver,4.507211631,51.055363237
ITG:MOSQ:SAMPL:EM013,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:PEM011Jul,noCode,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,PE,MosquitoMagnet,Mosquito Magnet Liberty Plus,M011,2012/7/10,2012/7/10 0:00:00/2012/7/17 0:00:00,Shelter Petrivo,Sint-Katelijne-Waver,4.507211631,51.055363237
ITG:MOSQ:SAMPL:EM014,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:PEM011Jul,noCode,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,PE,MosquitoMagnet,Mosquito Magnet Liberty Plus,M011,2012/7/10,2012/7/10 0:00:00/2012/7/17 0:00:00,Shelter Petrivo,Sint-Katelijne-Waver,4.507211631,51.055363237
ITG:MOSQ:SAMPL:EM015,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:PEM011Jul,noCode,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,PE,MosquitoMagnet,Mosquito Magnet Liberty Plus,M011,2012/7/10,2012/7/10 0:00:00/2012/7/17 0:00:00,Shelter Petrivo,Sint-Katelijne-Waver,4.507211631,51.055363237
ITG:MOSQ:SAMPL:EM016,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:PEM011Jul,noCode,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,PE,MosquitoMagnet,Mosquito Magnet Liberty Plus,M011,2012/7/10,2012/7/10 0:00:00/2012/7/17 0:00:00,Shelter Petrivo,Sint-Katelijne-Waver,4.507211631,51.055363237
ITG:MOSQ:SAMPL:EM017,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:PEM011Jul,noCode,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,PE,MosquitoMagnet,Mosquito Magnet Liberty Plus,M011,2012/7/10,2012/7/10 0:00:00/2012/7/17 0:00:00,Shelter Petrivo,Sint-Katelijne-Waver,4.507211631,51.055363237
ITG:MOSQ:SAMPL:EM018,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:PEM011Jul,noCode,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,PE,MosquitoMagnet,Mosquito Magnet Liberty Plus,M011,2012/7/10,2012/7/10 0:00:00/2012/7/17 0:00:00,Shelter Petrivo,Sint-Katelijne-Waver,4.507211631,51.055363237
ITG:MOSQ:SAMPL:EM019,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:PEM011Jul,noCode,unknown,Culex pipiens/torrentium?,determination uncertain,Culex,female,1,Isra Deblauwe,PE,MosquitoMagnet,Mosquito Magnet Liberty Plus,M011,2012/7/10,2012/7/10 0:00:00/2012/7/17 0:00:00,Shelter Petrivo,Sint-Katelijne-Waver,4.507211631,51.055363237
ITG:MOSQ:SAMPL:EM020,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:PEM011Jul,noCode,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,PE,MosquitoMagnet,Mosquito Magnet Liberty Plus,M011,2012/7/10,2012/7/10 0:00:00/2012/7/17 0:00:00,Shelter Petrivo,Sint-Katelijne-Waver,4.507211631,51.055363237
ITG:MOSQ:SAMPL:EM021,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:M1M003W28,noCode,unknown,Coquillettidia richiardii,,Coquillettidia,female,1,Isra Deblauwe,M1,MosquitoMagnet,LatinSquare,M003,2012/7/11,2012/7/11 0:00:00/2012/7/18 0:00:00,Forest next to industrial area 'Op de Berg',Maasmechelen,5.619013,50.996013
ITG:MOSQ:SAMPL:EM022,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:M1M003W28,noCode,unknown,Aedes cinereus/geminus,determination uncertain,Aedes,female,1,Isra Deblauwe,M1,MosquitoMagnet,LatinSquare,M003,2012/7/11,2012/7/11 0:00:00/2012/7/18 0:00:00,Forest next to industrial area 'Op de Berg',Maasmechelen,5.619013,50.996013
ITG:MOSQ:SAMPL:EM023,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:EVM010Jul,noCode,unknown,Culiseta annulata,,Culiseta,female,1,Isra Deblauwe,EV,MosquitoMagnet,Mosquito Magnet Liberty Plus,M010,2012/7/10,2012/7/10 0:00:00/2012/7/17 0:00:00,Shelter Euroveiling,Brussel,5.259748,50.585328
ITG:MOSQ:SAMPL:EM024,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:DIM014Jul,noCode,unknown,Culex torrentium,,Culex,female,1,Isra Deblauwe,,MosquitoMagnet,Mosquito Magnet Liberty Plus,M014,2012/7/11,2012/7/11 0:00:00/2012/7/18 0:00:00,,,,
ITG:MOSQ:SAMPL:EM025,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:EPM007Jul,noCode,unknown,Culex pipiens/torrentium?,determination uncertain,Culex,female,1,Isra Deblauwe,EP,MosquitoMagnet,Mosquito Magnet Liberty Plus,M007,2012/7/9,2012/7/9 0:00:00/2012/7/16 0:00:00,Shelter Exotic Plants BVBA,Wevelgem,3.211485304,50.815884813
ITG:MOSQ:SAMPL:EM026,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:EPM007Jul,noCode,unknown,Culex pipiens/torrentium?,determination uncertain,Culex,female,1,Isra Deblauwe,EP,MosquitoMagnet,Mosquito Magnet Liberty Plus,M007,2012/7/9,2012/7/9 0:00:00/2012/7/16 0:00:00,Shelter Exotic Plants BVBA,Wevelgem,3.211485304,50.815884813
ITG:MOSQ:SAMPL:EM027,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:EPM007Jul,noCode,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,EP,MosquitoMagnet,Mosquito Magnet Liberty Plus,M007,2012/7/9,2012/7/9 0:00:00/2012/7/16 0:00:00,Shelter Exotic Plants BVBA,Wevelgem,3.211485304,50.815884813
ITG:MOSQ:SAMPL:EM028,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:EPM007Jul,noCode,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,EP,MosquitoMagnet,Mosquito Magnet Liberty Plus,M007,2012/7/9,2012/7/9 0:00:00/2012/7/16 0:00:00,Shelter Exotic Plants BVBA,Wevelgem,3.211485304,50.815884813
ITG:MOSQ:SAMPL:EM029,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:EPM007Jul,noCode,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,EP,MosquitoMagnet,Mosquito Magnet Liberty Plus,M007,2012/7/9,2012/7/9 0:00:00/2012/7/16 0:00:00,Shelter Exotic Plants BVBA,Wevelgem,3.211485304,50.815884813
ITG:MOSQ:SAMPL:EM030,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:PGM005Jul,noCode,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,PG,MosquitoMagnet,Mosquito Magnet Liberty Plus,M005,2012/7/9,2012/7/9 0:00:00/2012/7/16 0:00:00,Port Gent Honda Europe,Gent,3.751125935,51.108753876
ITG:MOSQ:SAMPL:EM031,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:PGM005Jul,noCode,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,PG,MosquitoMagnet,Mosquito Magnet Liberty Plus,M005,2012/7/9,2012/7/9 0:00:00/2012/7/16 0:00:00,Port Gent Honda Europe,Gent,3.751125935,51.108753876
ITG:MOSQ:SAMPL:EM032,https://creativecommons.org/licenses/by/2.0/,ITG,Exosurv Sampling,event,ITG,en,ITG:MOSQ:SAMPL:EV:PGM005Jul,noCode,unknown,Culex pipiens,,Culex,female,1,Isra Deblauwe,PG,MosquitoMagnet,Mosquito Magnet Liberty Plus,M005,2012/7/9,2012/7/9 0:00:00/2012/7/16 0:00:00,Port Gent Honda Europe,Gent,3.751125935,51.108753876
