type,language,licence,rightsHolder,institutionCode,datasetName,basisOfRecord,eventID,lifeStage,locationID,sex,scientificName,genus,specificEpithet,identificationRemarks,occurrenceID,occurrenceRemarks,dateIdentified,individualCount,identifiedBy,decimalLatitude,decimalLongitude,habitat,municipality,comments,eventDate
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:N1L018Jun,larvae,N1L018,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,ITG:MOSQ:LARV:EL001,also 2 pupae,2012/7/24,2,Isra Deblauwe,50.3649676625777,4.9985009538961,tyre,Assesse,tyres next to field,2012/6/26 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:N1L010Ju2,adult,N1L010,male,Aedes japonicus japonicus,Aedes,japonicus japonicus,,ITG:MOSQ:LARV:EL002,tyres on silage,2012/7/5,1,Isra Deblauwe,50.3316001165932,5.0328486104137,tyre,Ciney,"Vincon, on silage & next to stable",2012/6/26 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:N1L010Ju2,larvae,N1L010,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,ITG:MOSQ:LARV:EL003,tyres on silage,2012/7/5,6,Isra Deblauwe,50.3316001165932,5.0328486104137,tyre,Ciney,"Vincon, on silage & next to stable",2012/6/26 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:VPL001Jun,larvae,VPL001,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,ITG:MOSQ:LARV:EL004,,2012/7/5,4,Isra Deblauwe,50.585328,5.259748,tyre,Villers Le Bouillet,,2012/6/29 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:M2L001Jul,larvae,M2L001,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,ITG:MOSQ:LARV:EL005,a lot of small larvae,2012/7/26,37,Isra Deblauwe,50.996036,5.620467,dirt tracks,Maasmechelen,next to forest M1,2012/7/25 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:M2L002Jul,larvae,M2L002,unknown,Aedes koreicus,Aedes,koreicus,,ITG:MOSQ:LARV:EL006,+ 1 pupa,2012/7/26,13,Isra Deblauwe,50.996695,5.621543,tyre,Maasmechelen,,2012/7/25 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:M2L003Jul,larvae,M2L003,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,ITG:MOSQ:LARV:EL007,a lot of small larvae,2012/7/26,27,Isra Deblauwe,50.991993,5.624796,rain water barrel,Maasmechelen,entrance car cemetry Armand Lowie,2012/7/25 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:M2L004Jul,larvae,M2L004,unknown,Aedes koreicus,Aedes,koreicus,,ITG:MOSQ:LARV:EL008,+ pupae,2012/7/26,20,Isra Deblauwe,50.989847,5.63037,bucket,Maasmechelen,road next to Mechelse Bos close to industrial zone 'Op de Berg',2012/7/25 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:M2L004Jul,larvae,M2L004,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,ITG:MOSQ:LARV:EL009,,2012/7/26,7,Isra Deblauwe,50.989847,5.63037,bucket,Maasmechelen,road next to Mechelse Bos close to industrial zone 'Op de Berg',2012/7/25 0:00:00
event,en,https://creativecommons.org/licenses/by/2.0/,ITG,ITG,Exosurvey Larval Sampling,preservedSpecimen,ITG:MOSQ:LARV:EV:M2L009Jul,larvae,M2L009,unknown,Culex pipiens/torrentium,Culex,pipiens/torrentium,determination uncertain,ITG:MOSQ:LARV:EL010,"a lot of small larvae, + 5 pupae",2012/7/26,65,Isra Deblauwe,50.950262,5.56362,water trough,Zutendaal,"in meadow, Wiemesmeer",2012/7/25 0:00:00
