eventID,license,institutionCode,countryCode,datasetName,type,rightsHolder,language,subsiteCode,siteCode,samplingProtocol,TrapCode,eventDate,verbatimEventDate,locality,municipality,decimalLongitude,decimalLatitude,geodeticDatum
ITG:MOSQ:SAMPL:EV:3RM023Aug,https://creativecommons.org/licenses/by/2.0/,ITG,BE,Exosurv Sampling,event,ITG,en,noCode,3R,Mosquito Magnet Liberty Plus,M023,2012/8/9,2012/8/9 0:00:00/2012/8/23 0:00:00,Tyres Rubber recycling company 3R,Dilsen-Stokkem,5.697141,51.014011,WGS84
ITG:MOSQ:SAMPL:EV:3RM023Oct,https://creativecommons.org/licenses/by/2.0/,ITG,BE,Exosurv Sampling,event,ITG,en,noCode,3R,Mosquito Magnet Liberty Plus,M023,2012/10/4,2012/10/4 0:00:00/2012/10/11 0:00:00,Tyres Rubber recycling company 3R,Dilsen-Stokkem,5.697141,51.014011,WGS84
ITG:MOSQ:SAMPL:EV:A1M018Aug,https://creativecommons.org/licenses/by/2.0/,ITG,BE,Exosurv Sampling,event,ITG,en,noCode,A1,Mosquito Magnet Liberty Plus,M018,2012/8/7,2012/8/7 0:00:00/2012/8/14 0:00:00,Port Antwerp Hapag lloyd,Antwerpen,4.345138072,51.329413673,WGS84
ITG:MOSQ:SAMPL:EV:A1M018Jul,https://creativecommons.org/licenses/by/2.0/,ITG,BE,Exosurv Sampling,event,ITG,en,noCode,A1,Mosquito Magnet Liberty Plus,M018,2012/7/20,2012/7/20 0:00:00/2012/7/26 0:00:00,Port Antwerp Hapag lloyd,Antwerpen,4.345138072,51.329413673,WGS84
ITG:MOSQ:SAMPL:EV:A1M018Oct,https://creativecommons.org/licenses/by/2.0/,ITG,BE,Exosurv Sampling,event,ITG,en,noCode,A1,Mosquito Magnet Liberty Plus,M018,2012/10/1,2012/10/1 0:00:00/2012/10/8 0:00:00,Port Antwerp Hapag lloyd,Antwerpen,4.345138072,51.329413673,WGS84
ITG:MOSQ:SAMPL:EV:A1M018Sep,https://creativecommons.org/licenses/by/2.0/,ITG,BE,Exosurv Sampling,event,ITG,en,noCode,A1,Mosquito Magnet Liberty Plus,M018,2012/9/4,2012/9/4 0:00:00/2012/9/11 0:00:00,Port Antwerp Hapag lloyd,Antwerpen,4.345138072,51.329413673,WGS84
ITG:MOSQ:SAMPL:EV:A2M012Oct,https://creativecommons.org/licenses/by/2.0/,ITG,BE,Exosurv Sampling,event,ITG,en,noCode,A2,Mosquito Magnet Liberty Plus,M012,2012/10/1,2012/10/1 0:00:00/2012/10/8 0:00:00,Port Antwerp Nova Natie,Antwerpen,4.395134272,51.252230006,WGS84
ITG:MOSQ:SAMPL:EV:ALM019Aug,https://creativecommons.org/licenses/by/2.0/,ITG,BE,Exosurv Sampling,event,ITG,en,noCode,AL,Mosquito Magnet Liberty Plus,M019,2012/8/9,2012/8/9 0:00:00/2012/8/16 0:00:00,Airport LiÃƒÆ’Ã‚Â¨ge,Grace-Hollogne,5.431387,50.637785,WGS84
ITG:MOSQ:SAMPL:EV:ALM019Jul,https://creativecommons.org/licenses/by/2.0/,ITG,BE,Exosurv Sampling,event,ITG,en,noCode,AL,Mosquito Magnet Liberty Plus,M019,2012/7/24,2012/7/24 0:00:00/2012/7/31 0:00:00,Airport LiÃƒÆ’Ã‚Â¨ge,Grace-Hollogne,5.431387,50.637785,WGS84
ITG:MOSQ:SAMPL:EV:ALM019Oct,https://creativecommons.org/licenses/by/2.0/,ITG,BE,Exosurv Sampling,event,ITG,en,noCode,AL,Mosquito Magnet Liberty Plus,M019,2012/10/4,2012/10/4 0:00:00/2012/10/11 0:00:00,Airport LiÃƒÆ’Ã‚Â¨ge,Grace-Hollogne,5.431387,50.637785,WGS84
ITG:MOSQ:SAMPL:EV:ALM019Sep,https://creativecommons.org/licenses/by/2.0/,ITG,BE,Exosurv Sampling,event,ITG,en,noCode,AL,Mosquito Magnet Liberty Plus,M019,2012/9/5,2012/9/5 0:00:00/2012/9/12 0:00:00,Airport LiÃƒÆ’Ã‚Â¨ge,Grace-Hollogne,5.431387,50.637785,WGS84
ITG:MOSQ:SAMPL:EV:AOM009Aug,https://creativecommons.org/licenses/by/2.0/,ITG,BE,Exosurv Sampling,event,ITG,en,noCode,AO,Mosquito Magnet Liberty Plus,M009,2012/8/6,2012/8/6 0:00:00/2012/8/13 0:00:00,Airport Ostend,Oostende,2.866681,51.203872,WGS84
ITG:MOSQ:SAMPL:EV:AOM009Jul,https://creativecommons.org/licenses/by/2.0/,ITG,BE,Exosurv Sampling,event,ITG,en,noCode,AO,Mosquito Magnet Liberty Plus,M009,2012/7/9,2012/7/9 0:00:00/2012/7/16 0:00:00,Airport Ostend,Oostende,2.866681,51.203872,WGS84
ITG:MOSQ:SAMPL:EV:AOM009Oct,https://creativecommons.org/licenses/by/2.0/,ITG,BE,Exosurv Sampling,event,ITG,en,noCode,AO,Mosquito Magnet Liberty Plus,M009,2012/10/2,2012/10/2 0:00:00/2012/10/9 0:00:00,Airport Ostend,Oostende,2.866681,51.203872,WGS84
ITG:MOSQ:SAMPL:EV:AOM009Sep,https://creativecommons.org/licenses/by/2.0/,ITG,BE,Exosurv Sampling,event,ITG,en,noCode,AO,Mosquito Magnet Liberty Plus,M009,2012/9/3,2012/9/3 0:00:00/2012/9/10 0:00:00,Airport Ostend,Oostende,2.866681,51.203872,WGS84
ITG:MOSQ:SAMPL:EV:ATM013Aug,https://creativecommons.org/licenses/by/2.0/,ITG,BE,Exosurv Sampling,event,ITG,en,noCode,AT,Mosquito Magnet Liberty Plus,M013,2012/8/7,2012/8/7 0:00:00/2012/8/14 0:00:00,Tyres ATB banden,Beveren,4.193505,51.213511,WGS84
ITG:MOSQ:SAMPL:EV:ATM013Jul,https://creativecommons.org/licenses/by/2.0/,ITG,BE,Exosurv Sampling,event,ITG,en,noCode,AT,Mosquito Magnet Liberty Plus,M013,2012/7/10,2012/7/10 0:00:00/2012/7/17 0:00:00,Tyres ATB banden,Beveren,4.193505,51.213511,WGS84
ITG:MOSQ:SAMPL:EV:ATM013Oct,https://creativecommons.org/licenses/by/2.0/,ITG,BE,Exosurv Sampling,event,ITG,en,noCode,AT,Mosquito Magnet Liberty Plus,M013,2012/10/1,2012/10/1 0:00:00/2012/10/8 0:00:00,Tyres ATB banden,Beveren,4.193505,51.213511,WGS84
