"Tube number";"Sampling Code";"Breeding Site Code";"Subsite Code";"Adult/Larva";"Genus";"Species";"Sex";"Number";"Box";"Storage of Box";"Identifier";"Date ID";"Comments"
"EL001";"N1L018Jun";"N1L018";"N1036";"Larva";"Culex";"pipiens/torrentium";"NA";2;"N1Jun";"KB25, on rack";"Isra";2012/7/24 0:00:00;"also 2 pupae"
"EL002";"N1L010Ju2";"N1L010";"N1005";"Adult";"Aedes";"j. japonicus";"M";1;"N101";"KB25, closet 123";"Isra";2012/7/5 0:00:00;"tyres on silage"
"EL003";"N1L010Ju2";"N1L010";"N1005";"Larva";"Culex";"pipiens/torrentium";"NA";6;"N1Jun";"KB25, on rack";"Isra";2012/7/5 0:00:00;"tyres on silage"
"EL004";"VPL001Jun";"VPL001";"NA";"Larva";"Culex";"pipiens/torrentium";"NA";4;"VP";"KB25, closet 123";"Isra";2012/7/5 0:00:00;
"EL005";"M2L001Jul";"M2L001";"M2002";"Larva";"Culex";"pipiens/torrentium";"NA";37;"M2Jul";"KB25, closet 123";"Isra";2012/7/26 0:00:00;"a lot of small larvae"
"EL006";"M2L002Jul";"M2L002";"M2002";"Larva";"Aedes";"koreicus";"NA";13;"M2Jul";"KB25, closet 123";"Isra";2012/7/26 0:00:00;"+ 1 pupa"
"EL007";"M2L003Jul";"M2L003";"M2002";"Larva";"Culex";"pipiens/torrentium";"NA";27;"M2Jul";"KB25, closet 123";"Isra";2012/7/26 0:00:00;"a lot of small larvae"
"EL008";"M2L004Jul";"M2L004";"M2003";"Larva";"Aedes";"koreicus";"NA";20;"M2Jul";"KB25, closet 123";"Isra";2012/7/26 0:00:00;"+ pupae"
"EL009";"M2L004Jul";"M2L004";"M2003";"Larva";"Culex";"pipiens/torrentium";"NA";7;"M2Jul";"KB25, closet 123";"Isra";2012/7/26 0:00:00;
"EL010";"M2L009Jul";"M2L009";"M2016";"Larva";"Culex";"pipiens/torrentium";"NA";65;"M2Jul";"KB25, closet 123";"Isra";2012/7/26 0:00:00;"a lot of small larvae, + 5 pupae"
"EL011";"M2L010Jul";"M2L010";"M2016";"Larva";"Culex";"pipiens/torrentium";"NA";2;"M2Jul";"KB25, closet 123";"Isra";2012/7/26 0:00:00;"1 already dead"
"EL012";"M2L011Jul";"M2L011";"M2016";"Larva";"Culex";"pipiens/torrentium";"NA";38;"M2Jul";"KB25, closet 123";"Isra";2012/7/26 0:00:00;"a lot of small larvae"
"EL013";"M2L013Jul";"M2L013";"M2016";"Larva";"Culex";"pipiens/torrentium";"NA";35;"M2Jul";"KB25, closet 123";"Isra";2012/7/26 0:00:00;"also small larvae"
"EL014";"M2L014Jul";"M2L014";"M2013";"Larva";"Culex";"pipiens/torrentium";"NA";107;"M2Jul";"KB25, closet 123";"Isra";2012/7/30 0:00:00;"a lot of small larvae"
"EL015";"M2L015Jul";"M2L015";"M2013";"Larva";"Culex";"pipiens/torrentium";"NA";47;"M2Jul";"KB25, closet 123";"Isra";2012/7/31 0:00:00;"2 pupae"
"EL016";"N1L001Jul";"N1L001";"N1007";"Larva";"Culex";"pipiens/torrentium";"NA";47;"N1Jul";"KB25, on rack";"Isra";2012/7/30 0:00:00;"from both sides of building"
"EL017";"N1L001Jul";"N1L001";"N1007";"Larva";"Aedes";"j. japonicus";"NA";7;"N1Jul";"KB25, on rack";"Isra";2012/7/30 0:00:00;"from both sides of building"
"EL018";"N1L001Jul";"N1L001";"N1007";"Larva";"Culex";"h. hortensis";"NA";1;"N1Jul";"KB25, on rack";"Isra";2012/7/30 0:00:00;"from both sides of building"
"EL019";"N1L002Jul";"N1L002";"N1007";"Larva";"Aedes";"j. japonicus";"NA";5;"N1Jul";"KB25, on rack";"Isra";2012/7/30 0:00:00;
"EL020";"N1L002Jul";"N1L002";"N1007";"Larva";"Anopheles";"plumbeus";"NA";1;"N1Jul";"KB25, on rack";"Isra";2012/8/9 0:00:00;
"EL021";"N1L010Jul";"N1L010";"N1005";"Larva";"Culex";"pipiens/torrentium";"NA";18;"N1Jul";"KB25, on rack";"Isra";2012/7/30 0:00:00;"tyres on silage"
"EL022";"N1L010Jul";"N1L010";"N1005";"Larva";"Aedes";"j. japonicus";"NA";2;"N1Jul";"KB25, on rack";"Isra";2012/7/30 0:00:00;"tyres next to stable"
"EL023";"N1L009Jul";"N1L009";"N1005";"Larva";"Culex";"pipiens/torrentium";"NA";47;"N1Jul";"KB25, on rack";"Isra";2012/7/30 0:00:00;"decomposed, a lot of small larvae"
"EL024";"N1L020Jul";"N1L020";"N1034";"Larva";"Anopheles";"maculipennis/messae";"NA";2;"N1Jul";"KB25, on rack";"Isra";2012/7/30 0:00:00;
"EL025";"N1L022Jul";"N1L022";"N1034";"Larva";"Culex";"pipiens/torrentium";"NA";39;"N1Jul";"KB25, on rack";"Isra";2012/7/30 0:00:00;"2 pupae"
"EL026";"N1L023Jul";"N1L023";"N1039";"Larva";"Culex";"pipiens/torrentium";"NA";28;"N1Jul";"KB25, on rack";"Isra";2012/7/31 0:00:00;"1 pupa"
"EL027";"M2L007Jul";"M2L007";"M2015";"Larva";"Culex";"pipiens/torrentium";"NA";20;"M2Jul";"KB25, closet 123";"Isra";2012/7/31 0:00:00;
"EL028";"TRL001Jul";"TRL001";"NA";"Larva";"Culex";"pipiens/torrentium";"NA";36;"TR";"KB25, closet 123";"Isra";2012/7/31 0:00:00;"3 pupae"
"EL029";"TRL001Jul";"TRL001";"NA";"Larva";"Aedes";"geniculatus";"NA";1;"TR";"KB25, closet 123";"Isra";2012/7/31 0:00:00;
