"Sampling Code";"Subsite Code";"Site Code";"Breeding site Code";"Larval Habitat Type";"Sampling Date";"Water Depth (cm)";"Presence Mosquitoes";"Presence exotic Mosq";"Comments"
"3RL001Sep";"NA";"3R";"3RL001";"drain channel";2012/9/12 0:00:00;5,00;0;0;
"A1L001Sep";"NA";"A1";"A1L001";"bucket";2012/9/11 0:00:00;15,00;0;0;
"A2L001Sep";"NA";"A2";"A2L001";"puddle";2012/9/11 0:00:00;8,00;0;0;
"AOL001Aug";"NA";"AO";"AOL001";"bucket";2012/8/13 0:00:00;25,00;0;0;
"AOL001Sep";"NA";"AO";"AOL001";"bucket";2012/9/3 0:00:00;20,00;0;0;
"AOL002Sep";"NA";"AO";"AOL002";"tyre";2012/9/3 0:00:00;5,00;0;0;
"ATL001Au1";"NA";"AT";"ATL001";"tyre";2012/8/7 0:00:00;15,00;1;0;"6/20"
"ATL001Au2";"NA";"AT";"ATL001";"tyre";2012/8/29 0:00:00;10,00;1;0;"10/20"
"ATL001Oct";"NA";"AT";"ATL001";"tyre";2012/10/1 0:00:00;5,00;1;0;"11/20, TR?"
"ATL001Sep";"NA";"AT";"ATL001";"tyre";2012/9/11 0:00:00;5,00;1;0;"9/20"
"AZL001Sep";"NA";"AZ";"AZL001";"tree hole";2012/9/11 0:00:00;2,00;0;0;
"AZL002Sep";"NA";"AZ";"AZL002";"drain channel";2012/9/11 0:00:00;5,00;0;0;
"DIL001Aug";"NA";"DI";"DIL001";"tyre";2012/8/1 0:00:00;10,00;1;0;"3/23"
"DIL002Aug";"NA";"DI";"DIL001";"metal container";2012/8/1 0:00:00;4,00;0;0;
"E1L001Sep";"NA";"E1";"E1L001";"tree hole";2012/9/13 0:00:00;3,00;0;0;
"E2L001Sep";"NA";"E2";"E2L001";"tree hole";2012/9/13 0:00:00;3,00;0;0;
"E3L001Sep";"NA";"E3";"E3L001";"tree hole";2012/9/13 0:00:00;2,00;0;0;
"E7L001Aug";"NA";"E7";"E7L001";"bucket";2012/8/13 0:00:00;20,00;0;0;
"E7L001Sep";"NA";"E7";"E7L001";"bucket";2012/9/10 0:00:00;20,00;0;0;
"EBL001Aug";"NA";"EB";"EBL001";"bucket";2012/8/13 0:00:00;90,00;0;0;
"EBL001Sep";"NA";"EB";"EBL001";"bucket";2012/9/3 0:00:00;0,00;0;0;"dry"
"EBL002Aug";"NA";"EB";"EBL002";"drain channel";2012/8/13 0:00:00;30,00;0;0;
"EBL003Sep";"NA";"EB";"EBL003";"bamboo in water";2012/9/3 0:00:00;5,00;0;0;
"EPL001Sep";"NA";"EP";"EPL001";"water recipient for flowers";2012/9/3 0:00:00;20,00;0;0;
"EVL001Sep";"NA";"EV";"EVL001";"drain channel";2012/9/11 0:00:00;4,00;0;0;
"M2L001Aug";"M2002";"M2";"M2L001";"dirt tracks";2012/8/30 0:00:00;0,00;0;0;"dry"
"M2L001Jul";"M2002";"M2";"M2L001";"dirt tracks";2012/7/25 0:00:00;20,00;1;0;
"M2L001Oct";"M2002";"M2";"M2L001";"dirt tracks";2012/10/17 0:00:00;15,00;0;0;"water surface 20 m²"
"M2L001Sep";"M2002";"M2";"M2L001";"dirt tracks";2012/9/19 0:00:00;5,00;0;0;
"M2L002Aug";"M2002";"M2";"M2L002";"tyre";2012/8/30 0:00:00;10,00;1;1;
"M2L002Jul";"M2002";"M2";"M2L002";"tyre";2012/7/25 0:00:00;9,00;1;1;
"M2L002Oc1";"M2002";"M2";"M2L002";"tyre";2012/10/17 0:00:00;10,00;1;0;
"M2L002Oc2";"M2002";"M2";"M2L002";"tyre";2012/10/31 0:00:00;5,00;1;0;
"M2L002Se1";"M2002";"M2";"M2L002";"tyre";2012/9/19 0:00:00;12,00;1;1;
"M2L002Se2";"M2002";"M2";"M2L002";"tyre";2012/9/26 0:00:00;8,00;0;0;
"M2L003Jul";"M2002";"M2";"M2L003";"rain water barrel";2012/7/25 0:00:00;60,00;1;0;
"M2L003Oct";"M2002";"M2";"M2L003";"rain water barrel";2012/10/17 0:00:00;30,00;1;1;
"M2L003Sep";"M2002";"M2";"M2L003";"rain water barrel";2012/9/26 0:00:00;50,00;1;1;
"M2L004Aug";"M2003";"M2";"M2L004";"bucket";2012/8/30 0:00:00;60,00;1;1;
"M2L004Jul";"M2003";"M2";"M2L004";"bucket";2012/7/25 0:00:00;15,00;1;1;
"M2L004Oct";"M2003";"M2";"M2L004";"bucket";2012/10/17 0:00:00;20,00;1;0;
"M2L004Sep";"M2003";"M2";"M2L004";"bucket";2012/9/26 0:00:00;15,00;1;1;
"M2L005Aug";"M2003";"M2";"M2L005";"tree hole";2012/8/30 0:00:00;0,00;0;0;"dry"
"M2L005Jul";"M2003";"M2";"M2L005";"tree hole";2012/7/25 0:00:00;5,00;0;0;
"M2L005Oct";"M2003";"M2";"M2L005";"tree hole";2012/10/17 0:00:00;5,00;0;0;
"M2L005Sep";"M2003";"M2";"M2L005";"tree hole";2012/9/26 0:00:00;0,00;0;0;"dry"
"M2L006Aug";"M2003";"M2";"M2L006";"tyre";2012/8/30 0:00:00;15,00;1;1;
"M2L006Jul";"M2003";"M2";"M2L006";"tyre";2012/7/25 0:00:00;10,00;1;0;
"M2L006Oct";"M2003";"M2";"M2L006";"tyre";2012/10/17 0:00:00;5,00;1;1;
"M2L006Sep";"M2003";"M2";"M2L006";"tyre";2012/9/19 0:00:00;0,00;0;0;"dry"
"M2L007Aug";"M2015";"M2";"M2L007";"puddle";2012/8/23 0:00:00;0,00;0;0;"dry"
"M2L007Jul";"M2015";"M2";"M2L007";"puddle";2012/7/25 0:00:00;30,00;1;0;
"M2L007Sep";"M2015";"M2";"M2L007";"puddle";2012/9/22 0:00:00;0,00;0;0;"dry"
"M2L008Aug";"M2016";"M2";"M2L008";"water trough";2012/8/30 0:00:00;70,00;0;0;
"M2L008Jul";"M2016";"M2";"M2L008";"water trough";2012/7/25 0:00:00;20,00;0;0;
"M2L008Oct";"M2016";"M2";"M2L008";"water trough";2012/10/17 0:00:00;45,00;0;0;"fresh water"
"M2L008Sep";"M2016";"M2";"M2L008";"water trough";2012/9/26 0:00:00;20,00;0;0;"fresh water"
"M2L009Aug";"M2016";"M2";"M2L009";"water trough";2012/8/30 0:00:00;70,00;0;0;
"M2L009Jul";"M2016";"M2";"M2L009";"water trough";2012/7/25 0:00:00;60,00;1;0;
"M2L009Oct";"M2016";"M2";"M2L009";"water trough";2012/10/17 0:00:00;40,00;0;0;"blue trough back on previous position"
"M2L009Sep";"M2016";"M2";"M2L009";"water trough";2012/9/26 0:00:00;70,00;1;0;"blue trough placed 120m further"
"M2L010Aug";"M2016";"M2";"M2L010";"water trough";2012/8/30 0:00:00;70,00;1;0;
"M2L010Jul";"M2016";"M2";"M2L010";"water trough";2012/7/25 0:00:00;50,00;1;0;
"M2L010Oct";"M2016";"M2";"M2L010";"water trough";2012/10/17 0:00:00;30,00;1;0;
"M2L010Sep";"M2016";"M2";"M2L010";"water trough";2012/9/26 0:00:00;15,00;1;0;
"M2L011Aug";"M2016";"M2";"M2L011";"puddle";2012/8/30 0:00:00;0,00;0;0;"dry"
"M2L011Jul";"M2016";"M2";"M2L011";"puddle";2012/7/25 0:00:00;5,00;1;0;
"M2L011Oct";"M2016";"M2";"M2L011";"puddle";2012/10/17 0:00:00;5,00;0;0;
"M2L011Sep";"M2016";"M2";"M2L011";"puddle";2012/9/26 0:00:00;8,00;0;0;
"M2L012Jul";"M2016";"M2";"M2L012";"bucket";2012/7/25 0:00:00;30,00;1;0;
"M2L013Jul";"M2016";"M2";"M2L013";"bucket";2012/7/25 0:00:00;5,00;1;0;
"M2L014Jul";"M2013";"M2";"M2L014";"water trough";2012/7/25 0:00:00;5,00;1;0;
"M2L014Oct";"M2013";"M2";"M2L014";"water trough";2012/10/17 0:00:00;30,00;0;0;
"M2L014Sep";"M2013";"M2";"M2L014";"water trough";2012/9/26 0:00:00;15,00;0;0;
"M2L015Jul";"M2013";"M2";"M2L015";"water trough";2012/7/25 0:00:00;15,00;1;0;
"M2L016Jul";"M2013";"M2";"M2L016";"water trough";2012/7/25 0:00:00;5,00;1;0;
"M2L016Oct";"M2013";"M2";"M2L016";"water trough";2012/10/17 0:00:00;20,00;1;0;
"M2L016Sep";"M2013";"M2";"M2L016";"water trough";2012/9/26 0:00:00;3,00;1;0;
"M2L017Jul";"M2013";"M2";"M2L017";"water trough";2012/7/25 0:00:00;40,00;0;0;"Ceratopogonidae"
"M2L017Oct";"M2013";"M2";"M2L017";"water trough";2012/10/17 0:00:00;40,00;1;0;
"M2L017Sep";"M2013";"M2";"M2L017";"water trough";2012/9/26 0:00:00;35,00;1;0;
"M2L018Jul";"M2014";"M2";"M2L018";"dirt tracks";2012/7/25 0:00:00;5,00;0;0;
"M2L018Oct";"M2014";"M2";"M2L018";"dirt tracks";2012/10/17 0:00:00;3,00;0;0;
"M2L018Sep";"M2014";"M2";"M2L018";"dirt tracks";2012/9/26 0:00:00;3,00;0;0;
"M2L019Aug";"M2002";"M2";"M2L019";"bucket";2012/8/30 0:00:00;30,00;1;1;
"M2L019Oct";"M2002";"M2";"M2L019";"bucket";2012/10/17 0:00:00;10,00;1;1;
"M2L019Sep";"M2002";"M2";"M2L019";"bucket";2012/9/26 0:00:00;5,00;1;1;
"M2L020Aug";"M2002";"M2";"M2L020";"metal container";2012/8/30 0:00:00;30,00;1;1;
"M2L020Oc1";"M2002";"M2";"M2L020";"metal container";2012/10/17 0:00:00;25,00;1;1;
"M2L020Oc2";"M2002";"M2";"M2L020";"metal container";2012/10/31 0:00:00;30,00;1;0;
"M2L020Sep";"M2002";"M2";"M2L020";"metal container";2012/9/26 0:00:00;8,00;1;1;
"M2L021Aug";"M2002";"M2";"M2L021";"tyre";2012/8/30 0:00:00;5,00;1;1;
"M2L021Oc1";"M2002";"M2";"M2L021";"tyre";2012/10/17 0:00:00;5,00;1;1;
"M2L021Oc2";"M2002";"M2";"M2L021";"tyre";2012/10/24 0:00:00;4,00;0;0;
"M2L021Oc3";"M2002";"M2";"M2L021";"tyre";2012/10/31 0:00:00;4,00;0;0;
"M2L021Sep";"M2002";"M2";"M2L021";"tyre";2012/9/26 0:00:00;2,00;1;1;
"M2L022Aug";"M2002";"M2";"M2L022";"plastic sheet";2012/8/30 0:00:00;8,00;1;1;
"M2L022Oc1";"M2002";"M2";"M2L022";"plastic sheet";2012/10/17 0:00:00;5,00;1;1;
"M2L022Oc2";"M2002";"M2";"M2L022";"plastic sheet";2012/10/24 0:00:00;3,00;1;1;
"M2L022Oc3";"M2002";"M2";"M2L022";"plastic sheet";2012/10/31 0:00:00;5,00;0;0;
"M2L022Sep";"M2002";"M2";"M2L022";"plastic sheet";2012/9/26 0:00:00;3,00;1;1;
"M2L023Aug";"M2010";"M2";"M2L023";"tyre";2012/8/30 0:00:00;10,00;1;0;"plastic container also checked"
"M2L023Oct";"M2010";"M2";"M2L023";"tyre";2012/10/24 0:00:00;5,00;1;0;
"M2L023Sep";"M2010";"M2";"M2L023";"tyre";2012/9/19 0:00:00;5,00;1;0;
"M2L024Aug";"M2003";"M2";"M2L024";"plastic container";2012/8/30 0:00:00;5,00;1;1;"open bidon (negative) & white plate (positive)"
"M2L024Oct";"M2003";"M2";"M2L024";"plastic container";2012/10/17 0:00:00;8,00;1;0;"only open bidon"
"M2L024Sep";"M2003";"M2";"M2L024";"plastic container";2012/9/19 0:00:00;8,00;1;0;"only open bidon"
"M2L025Aug";"M2003";"M2";"M2L025";"tyre";2012/8/30 0:00:00;5,00;1;0;
"M2L025Oct";"M2003";"M2";"M2L025";"tyre";2012/10/17 0:00:00;5,00;1;1;
"M2L025Sep";"M2003";"M2";"M2L025";"tyre";2012/9/19 0:00:00;3,00;1;0;
"M2L026Aug";"M2003";"M2";"M2L026";"plastic sheet";2012/8/30 0:00:00;5,00;1;1;"yellow sheet"
"M2L026Oct";"M2003";"M2";"M2L026";"plastic sheet";2012/10/17 0:00:00;5,00;1;0;"yellow sheet"
"M2L026Sep";"M2003";"M2";"M2L026";"plastic sheet";2012/9/19 0:00:00;4,00;1;0;"yellow sheet"
"M2L027Oct";"M2003";"M2";"M2L027";"metal container";2012/10/17 0:00:00;4,00;0;0;
"M2L027Sep";"M2003";"M2";"M2L027";"metal container";2012/9/19 0:00:00;3,00;0;0;
"M2L028Oct";"M2010";"M2";"M2L028";"tyre";2012/10/24 0:00:00;4,00;0;0;
"M2L028Sep";"M2010";"M2";"M2L028";"tyre";2012/9/19 0:00:00;1,00;0;0;"few water, wet leaves"
"M2L029Oct";"M2002";"M2";"M2L029";"metal container";2012/10/17 0:00:00;4,00;0;0;
"M2L029Sep";"M2002";"M2";"M2L029";"metal container";2012/9/26 0:00:00;3,00;1;1;
"M2L030Oct";"M2002";"M2";"M2L030";"metal container";2012/10/17 0:00:00;2,00;0;0;
"M2L030Sep";"M2002";"M2";"M2L030";"metal container";2012/9/26 0:00:00;5,00;1;0;
"M2L031Oct";"M2015";"M2";"M2L031";"plastic container";2012/10/17 0:00:00;3,00;0;0;
"M2L031Sep";"M2015";"M2";"M2L031";"plastic container";2012/9/26 0:00:00;3,00;0;0;
"M2L032Oct";"M2016";"M2";"M2L032";"water trough";2012/10/17 0:00:00;50,00;0;0;"white bathtub"
"M2L032Sep";"M2016";"M2";"M2L032";"water trough";2012/9/26 0:00:00;30,00;0;0;"white bathtub"
"M2L033Oct";"M2013";"M2";"M2L033";"plastic container";2012/10/17 0:00:00;15,00;1;0;
"M2L033Sep";"M2013";"M2";"M2L033";"plastic container";2012/9/26 0:00:00;6,00;1;0;
"M2L034Oct";"M2014";"M2";"M2L034";"water trough";2012/10/17 0:00:00;10,00;0;0;
"M2L034Sep";"M2014";"M2";"M2L034";"water trough";2012/9/26 0:00:00;10,00;0;0;
"M2L035Oct";"M2002";"M2";"M2L035";"bucket";2012/10/17 0:00:00;30,00;1;0;
"M2L036Oct";"M2014";"M2";"M2L036";"water trough";2012/10/17 0:00:00;10,00;0;0;
"M2L037Oct";"M2014";"M2";"M2L037";"water trough";2012/10/17 0:00:00;30,00;1;0;
"M2L038Oct";"M2007";"M2";"M2L038";"metal container";2012/10/24 0:00:00;15,00;1;0;
"M2L039Oct";"M2007";"M2";"M2L039";"tyre";2012/10/24 0:00:00;10,00;1;0;
"M2L040Oct";"M2010";"M2";"M2L040";"water recipient for flowers";2012/10/24 0:00:00;5,00;1;0;"3/30"
"N1L001Ap1";"N1007";"N1";"N1L001";"tyre";2012/4/13 0:00:00;15,00;1;1;"before treatment"
"N1L001Ap2";"N1007";"N1";"N1L001";"tyre";2012/4/27 0:00:00;15,00;0;0;
"N1L001Aug";"N1007";"N1";"N1L001";"tyre";2012/8/24 0:00:00;15,00;1;1;"8/40, 2/40 positive for Ae. japonicus"
"N1L001Ju1";"N1007";"N1";"N1L001";"tyre";2012/6/5 0:00:00;15,00;1;0;"Culex spp collected by Francis"
"N1L001Ju2";"N1007";"N1";"N1L001";"tyre";2012/6/26 0:00:00;15,00;1;0;
"N1L001Jul";"N1007";"N1";"N1L001";"tyre";2012/7/27 0:00:00;15,00;1;1;
"N1L001May";"N1007";"N1";"N1L001";"tyre";2012/5/18 0:00:00;15,00;0;0;
"N1L001Oc1";"N1007";"N1";"N1L001";"tyre";2012/10/19 0:00:00;20,00;1;1;"1/43 in front left (1/43 Ae. jap), 4/8 in front right (3/8 Ae. jap), 11/22 behind (1/22 Ae. Jap)"
"N1L001Oc2";"N1007";"N1";"N1L001";"tyre";2012/10/26 0:00:00;15,00;1;1;"1/3 in front right, 3/13 behind"
