"Sampling Code";"Site Code";"Trap Code";"Start Date";"End Date";"Presence mosquitoes";"Presence exotic mosquitoes";"Max Temp (°C)";"Min Temp (°C)";"Humidity (%)";"Comments"
"3RM023Aug";"3R";"M023";2012/8/9 0:00:00;2012/8/23 0:00:00;1;0;;;;"1 Culicoides obsoletus complex"
"3RM023Oct";"3R";"M023";2012/10/4 0:00:00;2012/10/11 0:00:00;1;0;;;;
"3RM023Sep";"3R";"M023";2012/9/5 0:00:00;2012/9/12 0:00:00;0;0;;;;
"A1M018Aug";"A1";"M018";2012/8/7 0:00:00;2012/8/14 0:00:00;1;0;;;;"1 Culicoides riethi"
"A1M018Jul";"A1";"M018";2012/7/20 0:00:00;2012/7/26 0:00:00;1;0;;;;
"A1M018Oct";"A1";"M018";2012/10/1 0:00:00;2012/10/8 0:00:00;1;0;;;;
"A1M018Sep";"A1";"M018";2012/9/4 0:00:00;2012/9/11 0:00:00;1;0;;;;
"A2M012Aug";"A2";"M012";2012/8/8 0:00:00;2012/8/14 0:00:00;0;0;;;;"Simuliidae"
"A2M012Jul";"A2";"M012";2012/7/10 0:00:00;2012/7/17 0:00:00;0;0;;;;"Culicoides"
"A2M012Oct";"A2";"M012";2012/10/1 0:00:00;2012/10/8 0:00:00;1;0;;;;
"A2M012Sep";"A2";"M012";2012/9/4 0:00:00;2012/9/11 0:00:00;0;0;;;;
"ALM019Aug";"AL";"M019";2012/8/9 0:00:00;2012/8/16 0:00:00;1;0;;;;
"ALM019Jul";"AL";"M019";2012/7/24 0:00:00;2012/7/31 0:00:00;1;0;;;;
"ALM019Oct";"AL";"M019";2012/10/4 0:00:00;2012/10/11 0:00:00;1;0;;;;
"ALM019Sep";"AL";"M019";2012/9/5 0:00:00;2012/9/12 0:00:00;1;0;;;;
"AOM009Aug";"AO";"M009";2012/8/6 0:00:00;2012/8/13 0:00:00;1;0;;;;
"AOM009Jul";"AO";"M009";2012/7/9 0:00:00;2012/7/16 0:00:00;1;0;;;;
"AOM009Oct";"AO";"M009";2012/10/2 0:00:00;2012/10/9 0:00:00;1;0;;;;
"AOM009Sep";"AO";"M009";2012/9/3 0:00:00;2012/9/10 0:00:00;1;0;;;;
"ATM013Aug";"AT";"M013";2012/8/7 0:00:00;2012/8/14 0:00:00;1;0;;;;
