"Sampling Code";"Subsite Code";"Site Code";"Trap Code";"Start Date";"End Date";"Presence of Aedes eggs";"Max temp (°C)";"Min temp (°C)";"Humidity (%)";"Comments"
"3RO120Aug";"NA";"3R";"O120";2012/8/9 0:00:00;2012/9/12 0:00:00;0;;;;
"3RO120Sep";"NA";"3R";"O120";2012/9/12 0:00:00;2012/10/11 0:00:00;0;;;;
"3RO121Aug";"NA";"3R";"O121";2012/8/9 0:00:00;2012/9/12 0:00:00;0;;;;
"3RO121Sep";"NA";"3R";"O121";2012/9/12 0:00:00;2012/10/11 0:00:00;0;;;;"polystyrene not found"
"3RO122Aug";"NA";"3R";"O121";2012/8/9 0:00:00;2012/9/12 0:00:00;0;;;;
"3RO122Sep";"NA";"3R";"O122";2012/9/12 0:00:00;2012/10/11 0:00:00;0;;;;
"A1O105Aug";"NA";"A1";"O105";2012/8/14 0:00:00;2012/9/11 0:00:00;0;;;;
"A1O105Jul";"NA";"A1";"O105";2012/7/20 0:00:00;2012/8/14 0:00:00;0;;;;
"A1O105Sep";"NA";"A1";"O105";2012/9/11 0:00:00;2012/10/8 0:00:00;0;;;;"polystyrene not found"
"A1O106Aug";"NA";"A1";"O106";2012/8/14 0:00:00;2012/9/11 0:00:00;0;;;;
"A1O106Jul";"NA";"A1";"O106";2012/7/20 0:00:00;2012/8/14 0:00:00;0;;;;
"A1O106Sep";"NA";"A1";"O106";2012/9/11 0:00:00;2012/10/8 0:00:00;0;;;;
"A1O107Aug";"NA";"A1";"O107";2012/8/14 0:00:00;2012/9/11 0:00:00;0;;;;
"A1O107Jul";"NA";"A1";"O107";2012/7/20 0:00:00;2012/8/14 0:00:00;0;;;;
"A1O107Sep";"NA";"A1";"O107";2012/9/11 0:00:00;2012/10/8 0:00:00;0;;;;
"A2O081Aug";"NA";"A2";"O081";2012/8/14 0:00:00;2012/9/11 0:00:00;0;;;;
"A2O081Jul";"NA";"A2";"O081";2012/7/17 0:00:00;2012/8/14 0:00:00;0;;;;
"A2O081Sep";"NA";"A2";"O081";2012/9/11 0:00:00;2012/10/8 0:00:00;0;;;;
"A2O082Aug";"NA";"A2";"O082";2012/8/14 0:00:00;2012/9/11 0:00:00;0;;;;
"A2O082Jul";"NA";"A2";"O082";2012/7/17 0:00:00;2012/8/14 0:00:00;0;;;;
"A2O082Sep";"NA";"A2";"O082";2012/9/11 0:00:00;2012/10/8 0:00:00;0;;;;
"A2O083Aug";"NA";"A2";"O083";2012/8/14 0:00:00;2012/9/11 0:00:00;0;;;;
"A2O083Jul";"NA";"A2";"O083";2012/7/17 0:00:00;2012/8/14 0:00:00;0;;;;
"A2O083Sep";"NA";"A2";"O083";2012/9/11 0:00:00;2012/10/8 0:00:00;0;;;;
"ALO111Au1";"NA";"AL";"O111";2012/7/31 0:00:00;2012/8/16 0:00:00;0;;;;
"ALO111Au2";"NA";"AL";"O111";2012/8/16 0:00:00;2012/9/12 0:00:00;0;;;;
"ALO111Sep";"NA";"AL";"O111";2012/9/12 0:00:00;2012/10/11 0:00:00;0;;;;
