Subcollectie,originalNameUsage,genus,scientificName,specificEpithet,type,language,license,rightsHolder,accessRights,institutionCode,datasetName,ownerInstitutionCode,basisOfREcord,countryCode,geodeticDatum,kingdom,nomenclaturalCode,day,month,year,locality,localityLatitude,LocalityLongitude,municipality,PLacetoGeoref,forGeoReference,Utm5km,recordedBy,identifiedBy,sex,lifestage,preparations,Veld12,catalogNumber,occurrenceID,Column,Provincie
Algemeen,"Aedes cinereus Meigen, 1818",Aedes,Aedes cinereus,cinereus,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,10,6,1909, ,,,Destelbergen,Destelbergen,"Destelbergen,  ",ES55B,Maurice E. M. Goetghebuer,Maurice E. M. Goetghebuer,Male,Adult,Whole mount,3C-5-Culi-6,1,RBINS:modirisk:collection::1,,East Flanders
Algemeen,"Aedes cinereus Meigen, 1818",Aedes,Aedes cinereus,cinereus,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,23,7,1917,Genval,50.7211,4.49388,Rixensart,Genval Rixensart,"Rixensart, Genval",FS02D,André Léon Tonnoir,André Léon Tonnoir,Male,Adult,Whole mount,3C-5-Culi-6,2,RBINS:modirisk:collection::2,,Brabant Wallon
Algemeen,"Aedes cinereus Meigen, 1818",Aedes,Aedes cinereus,cinereus,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,,7,1922,Abdij van Postel,,,Mol,Abdij van Postel Mol,"Mol, Abdij van Postel",FS58C,Guilliaume Severin,Maurice E. M. Goetghebuer,Male,Adult,Whole mount,3C-5-Culi-6,3,RBINS:modirisk:collection::3,,Antwerp
Algemeen,"Aedes cinereus Meigen, 1818",Aedes,Aedes cinereus,cinereus,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,9,6,1920, ,,,Destelbergen,Destelbergen,"Destelbergen,  ",ES55B,,André Léon Tonnoir,Male,Adult,Whole mount,3C-5-Culi-6,4,RBINS:modirisk:collection::4,,East Flanders
Algemeen,"Aedes cinereus Meigen, 1818",Aedes,Aedes cinereus,cinereus,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,9,6,1920, ,,,Destelbergen,Destelbergen,"Destelbergen,  ",ES55B,,André Léon Tonnoir,Female,Adult,Whole mount,3C-5-Culi-6,5,RBINS:modirisk:collection::5,,East Flanders
Algemeen,"Anopheles atroparvus Van Thiel, 1927",Anopheles,Anopheles atroparvus,atroparvus,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,16,7,1941,Zandvliet,51.35964999999999,4.30716,Antwerpen,Zandvliet Antwerpen,"Antwerpen, Zandvliet",ES99C,,M. Lips,Male,Adult,Whole mount,3C-3-Culi-6,6,RBINS:modirisk:collection::6,,Antwerp
Algemeen,"Anopheles atroparvus Van Thiel, 1927",Anopheles,Anopheles atroparvus,atroparvus,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,16,7,1941,Zandvliet,51.35964999999999,4.30716,Antwerpen,Zandvliet Antwerpen,"Antwerpen, Zandvliet",ES99C,,M. Lips,Female,Adult,Whole mount,3C-3-Culi-6,7,RBINS:modirisk:collection::7,,Antwerp
Algemeen,"Anopheles atroparvus Van Thiel, 1927",Anopheles,Anopheles atroparvus,atroparvus,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,,8,1940, ,,,Ramskapelle,Ramskapelle,"Ramskapelle,  ",ES18B,,M. Lips,Male,Adult,Whole mount,3C-3-Culi-6,8,RBINS:modirisk:collection::8,,
Algemeen,"Anopheles atroparvus Van Thiel, 1927",Anopheles,Anopheles atroparvus,atroparvus,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,,8,1940, ,,,Ramskapelle,Ramskapelle,"Ramskapelle,  ",ES18B,,M. Lips,Female,Adult,Whole mount,3C-3-Culi-6,9,RBINS:modirisk:collection::9,,
Algemeen,"Anopheles atroparvus Van Thiel, 1927",Anopheles,Anopheles atroparvus,atroparvus,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,,8,1940, ,,,Ramskapelle,Ramskapelle,"Ramskapelle,  ",ES18B,,M. Lips,Female,Adult,Whole mount,3C-3-Culi-6,10,RBINS:modirisk:collection::10,,
