gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1137098010	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:5121	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culiseta	Culiseta annulata		SPECIES	Culiseta annulata (Schrank, 1776)	BE	rooierheidestraat 73	37e82b90-1e21-11de-ab90-f72009d2669b	50.9347	5.41562							2010-06-15T02:00Z	15	6	2010	1649565	1649565	HUMAN_OBSERVATION	ITM				Cleo	CC_BY_4_0					2017-02-28T03:53Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137098009	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:5127	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culiseta	Culiseta annulata		SPECIES	Culiseta annulata (Schrank, 1776)	BE	braambessenstraat 25	37e82b90-1e21-11de-ab90-f72009d2669b	50.950611	5.31507							2010-06-15T02:00Z	15	6	2010	1649565	1649565	HUMAN_OBSERVATION	ITM				Cleo	CC_BY_4_0					2017-02-28T03:53Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137098008	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:5116	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes cantans		SPECIES	Ochlerotatus cantans (Meigen, 1818) Meigen, 1818	BE	4 Halve Dreef	37e82b90-1e21-11de-ab90-f72009d2669b	51.105679	3.89067							2010-06-10T02:00Z	10	6	2010	4519729	1651187	HUMAN_OBSERVATION	UCL				Wouter Dekoninck	CC_BY_4_0					2017-02-28T03:53Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137098007	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:5109	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes cantans		SPECIES	Ochlerotatus cantans (Meigen, 1818) Meigen, 1818	BE	58 Zandstraat	37e82b90-1e21-11de-ab90-f72009d2669b									2010-05-26T02:00Z	26	5	2010	4519729	1651187	HUMAN_OBSERVATION	UCL				Wouter Dekoninck	CC_BY_4_0					2017-02-28T03:53Z		RECORDED_DATE_MISMATCH
1137098006	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:5114	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens		SPECIES	Culex pipiens Linnaeus, 1758	BE	100 Hoekstraat	37e82b90-1e21-11de-ab90-f72009d2669b									2010-06-10T02:00Z	10	6	2010	1652991	1652991	HUMAN_OBSERVATION	UCL				Wouter Dekoninck	CC_BY_4_0					2017-02-28T03:53Z		RECORDED_DATE_MISMATCH
1137098005	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:5126	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes rusticus		SPECIES	Ochlerotatus rusticus (Rossi, 1790) Rossi, 1790	BE	berg 74	37e82b90-1e21-11de-ab90-f72009d2669b	51.169189	5.15583							2010-06-07T02:00Z	7	6	2010	4519735	1651877	HUMAN_OBSERVATION	ITM				Cleo	CC_BY_4_0					2017-02-28T03:53Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137098004	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:5122	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Coquillettidia	Coquillettidia richiardii		SPECIES	Coquillettidia richiardii (Ficalbi, 1889)	BE	rooierheidestraat 73	37e82b90-1e21-11de-ab90-f72009d2669b	50.9347	5.41562							2010-06-15T02:00Z	15	6	2010	1648899	1648899	HUMAN_OBSERVATION	ITM				Cleo	CC_BY_4_0					2017-02-28T03:53Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137098003	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:5117	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens		SPECIES	Culex pipiens Linnaeus, 1758	BE	doolstraat 59	37e82b90-1e21-11de-ab90-f72009d2669b	51.25943	4.86543							2010-05-26T02:00Z	26	5	2010	1652991	1652991	HUMAN_OBSERVATION	UCL				Wouter Dekoninck	CC_BY_4_0					2017-02-28T03:53Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137098002	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:5128	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Coquillettidia	Coquillettidia richiardii		SPECIES	Coquillettidia richiardii (Ficalbi, 1889)	BE	braambessenstraat 25	37e82b90-1e21-11de-ab90-f72009d2669b	50.950611	5.31507							2010-06-15T02:00Z	15	6	2010	1648899	1648899	HUMAN_OBSERVATION	ITM				Cleo	CC_BY_4_0					2017-02-28T03:53Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137098001	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:5130	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes rusticus		SPECIES	Ochlerotatus rusticus (Rossi, 1790) Rossi, 1790	BE	braambessenstraat 25	37e82b90-1e21-11de-ab90-f72009d2669b	50.950611	5.31507							2010-06-15T02:00Z	15	6	2010	4519735	1651877	HUMAN_OBSERVATION	ITM				Cleo	CC_BY_4_0					2017-02-28T03:53Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137098000	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:5125	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes cantans		SPECIES	Ochlerotatus cantans (Meigen, 1818) Meigen, 1818	BE	berg 74	37e82b90-1e21-11de-ab90-f72009d2669b	51.169189	5.15583							2010-06-07T02:00Z	7	6	2010	4519729	1651187	HUMAN_OBSERVATION	ITM				Cleo	CC_BY_4_0					2017-02-28T03:53Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137097999	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:5093	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes communis		SPECIES	Ochlerotatus communis (De Geer, 1776) De Geer, 1776	BE	Heistraat	37e82b90-1e21-11de-ab90-f72009d2669b	51.19228	4.83718							2010-06-02T02:00Z	2	6	2010	4519719	1651255	HUMAN_OBSERVATION	UCL				Wouter Dekoninck	CC_BY_4_0					2017-02-28T03:53Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
1137097998	6679952f-649b-4888-bd97-00daca4b8cc1	MODIRISK:5096	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes cantans		SPECIES	Ochlerotatus cantans (Meigen, 1818) Meigen, 1818	BE	27 Broechemlei	37e82b90-1e21-11de-ab90-f72009d2669b	51.18713	4.56661							2010-05-27T02:00Z	27	5	2010	4519729	1651187	HUMAN_OBSERVATION	UCL				Wouter Dekoninck	CC_BY_4_0					2017-02-28T03:53Z		RECORDED_DATE_MISMATCH;COORDINATE_ROUNDED
