species;decimallatitude;decimallongitude;eventdate;day;month;year
Culiseta annulata;509.347;541.562;2010-06-15T02:00Z;15;6;2010
Culiseta annulata;50.950.611;531.507;2010-06-15T02:00Z;15;6;2010
Aedes cantans;51.105.679;389.067;2010-06-10T02:00Z;10;6;2010
Aedes cantans;;;2010-05-26T02:00Z;26;5;2010
Culex pipiens;;;2010-06-10T02:00Z;10;6;2010
Aedes rusticus;51.169.189;515.583;2010-06-07T02:00Z;7;6;2010
Coquillettidia richiardii;509.347;541.562;2010-06-15T02:00Z;15;6;2010
Culex pipiens;5.125.943;486.543;2010-05-26T02:00Z;26;5;2010
Coquillettidia richiardii;50.950.611;531.507;2010-06-15T02:00Z;15;6;2010
Aedes rusticus;50.950.611;531.507;2010-06-15T02:00Z;15;6;2010
Aedes cantans;51.169.189;515.583;2010-06-07T02:00Z;7;6;2010
Aedes communis;5.119.228;483.718;2010-06-02T02:00Z;2;6;2010
Aedes cantans;5.118.713;456.661;2010-05-27T02:00Z;27;5;2010
Culex pipiens;51.164.532;49.013;2010-06-02T02:00Z;2;6;2010
Culex pipiens;509.347;541.562;2010-06-15T02:00Z;15;6;2010
Culex pipiens;;;2010-06-02T02:00Z;2;6;2010
Culiseta annulata;51.350.769;440.976;2010-05-27T02:00Z;27;5;2010
Culex pipiens;;;2010-05-27T02:00Z;27;5;2010
Culex pipiens;;;2010-05-27T02:00Z;27;5;2010
Aedes geniculatus;;;2010-05-26T02:00Z;26;5;2010
Aedes rusticus;5.110.524;419.417;2010-06-03T02:00Z;3;6;2010
Aedes communis;;;2010-05-27T02:00Z;27;5;2010
Culiseta annulata;5.119.228;483.718;2010-06-02T02:00Z;2;6;2010
Aedes rusticus;509.347;541.562;2010-06-15T02:00Z;15;6;2010
Culex pipiens;50.950.611;531.507;2010-06-15T02:00Z;15;6;2010
Culex pipiens;;;2010-05-26T02:00Z;26;5;2010
Aedes punctor;5.119.228;483.718;2010-06-02T02:00Z;2;6;2010
Aedes punctor;;;2010-05-26T02:00Z;26;5;2010
Aedes geniculatus;5.118.713;456.661;2010-05-27T02:00Z;27;5;2010
Culex pipiens;;;2010-06-03T02:00Z;3;6;2010
Aedes cantans;509.347;541.562;2010-06-15T02:00Z;15;6;2010
Anopheles maculipennis;5.110.524;419.417;2010-06-03T02:00Z;3;6;2010
Aedes cinereus;;;2010-05-26T02:00Z;26;5;2010
Aedes communis;509.347;541.562;2010-06-15T02:00Z;15;6;2010
Culex pipiens;51.136.761;555.024;2010-06-21T02:00Z;21;6;2010
