Subcollectie,originalNameUsage,genus,scientificName,specificEpithet,type,language,license,rightsHolder,accessRights,institutionCode,datasetName,ownerInstitutionCode,basisOfREcord,countryCode,geodeticDatum,kingdom,nomenclaturalCode,eventDate,locality,localityLatitude,LocalityLongitude,municipality,PLacetoGeoref,forGeoReference,Utm5km,recordedBy,identifiedBy,sex,lifestage,preparations,Veld12,catalogNumber,occurrenceID,Column,Provincie,X,Y,TAG,POINT_X,POINT_Y,decimalLongitude,decimalLatitude,datasetName2,georeferenceRemarks
Algemeen,"Aedes cinereus Meigen, 1818",Aedes,Aedes cinereus,cinereus,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,10/6/1909, ,,,Destelbergen,Destelbergen,"Destelbergen,  ",ES55B,Maurice E. M. Goetghebuer,Maurice E. M. Goetghebuer,Male,Adult,Whole mount,3C-5-Culi-6,1,RBINS:modirisk:collection::1,,East Flanders,111577.44240000099,195252.21279999983,ES55B,111577.4424,195252.2128,3.8206169257590403,51.06613746522118,Modirisk_collection_data,georeference_attempt
Algemeen,"Aedes cinereus Meigen, 1818",Aedes,Aedes cinereus,cinereus,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,23/7/1917,Genval,50.7211,4.49388,Rixensart,Genval Rixensart,"Rixensart, Genval",FS02D,André Léon Tonnoir,André Léon Tonnoir,Male,Adult,Whole mount,3C-5-Culi-6,2,RBINS:modirisk:collection::2,,Brabant Wallon,160934.75850000232,159322.50360000134,FS02D,160934.7585,159322.5036,4.523679733033983,50.744320946323356,Modirisk_collection_data,georeference_attempt
Algemeen,"Aedes cinereus Meigen, 1818",Aedes,Aedes cinereus,cinereus,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,7/1922,Abdij van Postel,,,Mol,Abdij van Postel Mol,"Mol, Abdij van Postel",FS58C,Guilliaume Severin,Maurice E. M. Goetghebuer,Male,Adult,Whole mount,3C-5-Culi-6,3,RBINS:modirisk:collection::3,,Antwerp,207051.83349999785,218484.7379,FS58C,207051.8335,218484.7379,5.186294567506461,51.27340790203188,Modirisk_collection_data,georeference_attempt
Algemeen,"Aedes cinereus Meigen, 1818",Aedes,Aedes cinereus,cinereus,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,9/6/1920, ,,,Destelbergen,Destelbergen,"Destelbergen,  ",ES55B,,André Léon Tonnoir,Male,Adult,Whole mount,3C-5-Culi-6,4,RBINS:modirisk:collection::4,,East Flanders,111577.44240000099,195252.21279999983,ES55B,111577.4424,195252.2128,3.8206169257590403,51.06613746522118,Modirisk_collection_data,georeference_attempt
Algemeen,"Aedes cinereus Meigen, 1818",Aedes,Aedes cinereus,cinereus,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,9/6/1920, ,,,Destelbergen,Destelbergen,"Destelbergen,  ",ES55B,,André Léon Tonnoir,Female,Adult,Whole mount,3C-5-Culi-6,5,RBINS:modirisk:collection::5,,East Flanders,111577.44240000099,195252.21279999983,ES55B,111577.4424,195252.2128,3.8206169257590403,51.06613746522118,Modirisk_collection_data,georeference_attempt
Algemeen,"Anopheles atroparvus Van Thiel, 1927",Anopheles,Anopheles atroparvus,atroparvus,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,16/7/1941,Zandvliet,51.35964999999999,4.30716,Antwerpen,Zandvliet Antwerpen,"Antwerpen, Zandvliet",ES99C,,M. Lips,Male,Adult,Whole mount,3C-3-Culi-6,6,RBINS:modirisk:collection::6,,Antwerp,147234.04649999738,229608.05750000104,ES99C,147234.0465,229608.0575,4.3290379466488025,51.37620575239301,Modirisk_collection_data,georeference_attempt
Algemeen,"Anopheles atroparvus Van Thiel, 1927",Anopheles,Anopheles atroparvus,atroparvus,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,16/7/1941,Zandvliet,51.35964999999999,4.30716,Antwerpen,Zandvliet Antwerpen,"Antwerpen, Zandvliet",ES99C,,M. Lips,Female,Adult,Whole mount,3C-3-Culi-6,7,RBINS:modirisk:collection::7,,Antwerp,147234.04649999738,229608.05750000104,ES99C,147234.0465,229608.0575,4.3290379466488025,51.37620575239301,Modirisk_collection_data,georeference_attempt
Algemeen,"Anopheles atroparvus Van Thiel, 1927",Anopheles,Anopheles atroparvus,atroparvus,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,8/1940, ,,,Ramskapelle,Ramskapelle,"Ramskapelle,  ",ES18B,,M. Lips,Male,Adult,Whole mount,3C-3-Culi-6,8,RBINS:modirisk:collection::8,,,72123.43349999934,225999.05160000172,ES18B,72123.4335,225999.0516,3.251229494419811,51.33851408667626,Modirisk_collection_data,georeference_attempt
Algemeen,"Anopheles atroparvus Van Thiel, 1927",Anopheles,Anopheles atroparvus,atroparvus,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,8/1940, ,,,Ramskapelle,Ramskapelle,"Ramskapelle,  ",ES18B,,M. Lips,Female,Adult,Whole mount,3C-3-Culi-6,9,RBINS:modirisk:collection::9,,,72123.43349999934,225999.05160000172,ES18B,72123.4335,225999.0516,3.251229494419811,51.33851408667626,Modirisk_collection_data,georeference_attempt
Algemeen,"Anopheles atroparvus Van Thiel, 1927",Anopheles,Anopheles atroparvus,atroparvus,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,8/1940, ,,,Ramskapelle,Ramskapelle,"Ramskapelle,  ",ES18B,,M. Lips,Female,Adult,Whole mount,3C-3-Culi-6,10,RBINS:modirisk:collection::10,,,72123.43349999934,225999.05160000172,ES18B,72123.4335,225999.0516,3.251229494419811,51.33851408667626,Modirisk_collection_data,georeference_attempt
Algemeen,"Anopheles claviger (Meigen, 1804)",Anopheles,Anopheles claviger,claviger,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,13/5/1910, ,,,Gent,Gent,"Gent,  ",ES55A,Maurice E. M. Goetghebuer,Maurice E. M. Goetghebuer,Female,Adult,Whole mount,3C-3-Culi-6,11,RBINS:modirisk:collection::11,,East Flanders,106576.54039999844,195344.79320000112,ES55A,106576.5404,195344.7932,3.7492658563690693,51.06661661343593,Modirisk_collection_data,georeference_attempt
Algemeen,"Anopheles claviger (Meigen, 1804)",Anopheles,Anopheles claviger,claviger,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,13/5/1910, ,,,Gent,Gent,"Gent,  ",ES55A,Maurice E. M. Goetghebuer,Maurice E. M. Goetghebuer,Female,Adult,Whole mount,3C-3-Culi-6,12,RBINS:modirisk:collection::12,,East Flanders,106576.54039999844,195344.79320000112,ES55A,106576.5404,195344.7932,3.7492658563690693,51.06661661343593,Modirisk_collection_data,georeference_attempt
Algemeen,"Anopheles claviger (Meigen, 1804)",Anopheles,Anopheles claviger,claviger,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,13/5/1910, ,,,Gent,Gent,"Gent,  ",ES55A,Maurice E. M. Goetghebuer,Maurice E. M. Goetghebuer,Male,Adult,Whole mount,3C-3-Culi-6,13,RBINS:modirisk:collection::13,,East Flanders,106576.54039999844,195344.79320000112,ES55A,106576.5404,195344.7932,3.7492658563690693,51.06661661343593,Modirisk_collection_data,georeference_attempt
Algemeen,"Anopheles claviger (Meigen, 1804)",Anopheles,Anopheles claviger,claviger,Event,en,https://creativecommons.org/licenses/by-nc/4.0/,RBINS,http://www.inbo.be/en/norms-for-data-use,RBINS,insertDatasetName,RBINS,PreservedSpecimen,BE,WGS84,Animalia,ICZN,18/9/1909,Sint-Amandsberg,51.0593304,3.7509905,Gent,Sint-Amandsberg Gent,"Gent, Sint-Amandsberg",ES55A,Maurice E. M. Goetghebuer,Maurice E. M. Goetghebuer,Female,Adult,Whole mount,3C-3-Culi-6,14,RBINS:modirisk:collection::14,,East Flanders,106576.54039999844,195344.79320000112,ES55A,106576.5404,195344.7932,3.7492658563690693,51.06661661343593,Modirisk_collection_data,georeference_attempt
