X,Y,TAG,POINT_X,POINT_Y
21558.644400000572,196912.75070000067,DS65B,21558.64440000000,196912.75070000000
21466.732600003481,191911.73290000111,DS65D,21466.73260000000,191911.73290000000
21650.536700002849,201913.80779999867,DS66D,21650.53670000000,201913.80780000001
26007.745300002396,166815.0951000005,DS72A,26007.74530000000,166815.09510000001
31008.627899996936,166723.04500000179,DS72B,31008.62790000000,166723.04500000001
26191.793099999428,176816.89110000059,DS73A,26191.79310000000,176816.89110000001
31192.723200000823,176724.87110000104,DS73B,31192.72320000000,176724.87109999999
26099.777500003576,171815.98119999841,DS73C,26099.77750000000,171815.98120000001
31100.682300001383,171723.94619999826,DS73D,31100.68230000000,171723.94620000001
26375.774599999189,186818.79430000111,DS74A,26375.77460000000,186818.79430000001
31376.764499999583,186726.80440000072,DS74B,31376.76450000000,186726.80439999999
26283.792199999094,181817.82770000026,DS74C,26283.79220000000,181817.82769999999
31284.750600002706,181725.82279999927,DS74D,31284.75060000000,181725.82279999999
26559.690099999309,196820.82979999855,DS75A,26559.69010000000,196820.82980000001
31560.752300001681,196728.86969999969,DS75B,31560.75230000000,196728.86970000001
26467.740599997342,191819.79399999976,DS75C,26467.74060000000,191819.79399999999
31468.765100002289,191727.8189000003,DS75D,31468.76510000000,191727.81890000001
31744.686800003052,206731.09180000052,DS76B,31744.68680000000,206731.09179999999
26651.623199999332,201821.90480000153,DS76C,26651.62320000000,201821.90479999999
31652.726199999452,201729.95949999988,DS76D,31652.72620000000,201729.95950000000
40826.211300000548,156537.09730000049,DS81B,40826.21130000000,156537.09729999999
36009.524099998176,166630.97430000082,DS82A,36009.52410000000,166630.97430000000
41010.430799998343,166538.88309999928,DS82B,41010.43080000000,166538.88310000001
35917.437100000679,161630.08170000091,DS82C,35917.43710000000,161630.08170000001
40918.324799999595,161537.98149999976,DS82D,40918.32480000000,161537.98149999999
36193.666699998081,176632.82429999858,DS83A,36193.66670000000,176632.82430000001
41194.620700001717,176540.75090000033,DS83B,41194.62070000000,176540.75090000001
36101.600599996746,171631.88749999925,DS83C,36101.60060000000,171631.88750000001
41102.529399998486,171539.80519999936,DS83D,41102.52940000000,171539.80520000000
36377.76780000329,186634.78139999881,DS84A,36377.76780000000,186634.78140000001
41378.781400002539,186542.72549999878,DS84B,41378.78140000000,186542.72550000000
36285.722400002182,181633.78790000081,DS84C,36285.72240000000,181633.78790000000
41286.704599998891,181541.72329999879,DS84D,41286.70460000000,181541.72330000001
36561.827799998224,196636.87040000036,DS85A,36561.82780000000,196636.87040000001
41562.913400001824,196544.83179999888,DS85B,41562.91340000000,196544.83180000001
36469.802900001407,191635.80790000036,DS85C,36469.80290000000,191635.80790000001
41470.851000003517,191543.76069999859,DS85D,41470.85100000000,191543.76070000001
36745.846900001168,206639.11589999869,DS86A,36745.84690000000,206639.11590000000
41747.0169999972,206547.09459999949,DS86B,41747.01700000000,206547.09460000001
36653.842399999499,201637.97199999914,DS86C,36653.84240000000,201637.97200000001
41654.968800000846,201545.94209999964,DS86D,41654.96880000000,201545.94209999999
41839.058300003409,211548.29239999875,DS87D,41839.05830000000,211548.29240000001
45827.090599998832,156444.97370000184,DS91A,45827.09060000000,156444.97370000000
50827.974299997091,156352.83590000123,DS91B,50827.97430000000,156352.83590000001
46011.344800002873,166446.77129999921,DS92A,46011.34480000000,166446.77129999999
51012.263199999928,166354.63910000026,DS92B,51012.26320000000,166354.63910000000
45919.219899997115,161445.86389999837,DS92C,45919.21990000000,161445.86390000000
50920.11930000037,161353.72890000045,DS92D,50920.11930000000,161353.72889999999
46195.581900000572,176448.65069999918,DS93A,46195.58190000000,176448.65070000000
51196.547300003469,176356.52389999852,DS93B,51196.54730000000,176356.52390000000
46103.465499997139,171447.69920000061,DS93C,46103.46550000000,171447.69920000000
51104.405799999833,171355.56969999894,DS93D,51104.40580000000,171355.56969999999
46379.802199997008,186450.63679999858,DS94A,46379.80220000000,186450.63680000001
51380.827100001276,186358.51509999856,DS94B,51380.82710000000,186358.51509999999
46287.694099999964,181449.62889999896,DS94C,46287.69410000000,181449.62890000001
51288.687700003386,181357.50470000133,DS94D,51288.68770000000,181357.50469999999
46564.006200000644,196452.75420000032,DS95A,46564.00620000000,196452.75420000000
51565.102899998426,196360.63749999925,DS95B,51565.10290000000,196360.63750000001
46471.906199999154,191451.67749999836,DS95C,46471.90620000000,191451.67749999999
51472.965400002897,191359.55829999968,DS95D,51472.96540000000,191359.55830000000
46748.194200001657,206455.02789999917,DS96A,46748.19420000000,206455.02789999999
51749.375200003386,206362.91600000113,DS96B,51749.37520000000,206362.91600000000
46656.102099999785,201453.87000000104,DS96C,46656.10210000000,201453.87000000000
51657.239500001073,201361.75569999963,DS96D,51657.23950000000,201361.75570000001
46932.366700001061,216457.48279999942,DS97A,46932.36670000000,216457.48280000000
51933.644500002265,216365.37539999932,DS97B,51933.64450000000,216365.37539999999
46840.282300002873,211456.23119999841,DS97C,46840.28230000000,211456.23120000001
51841.510200001299,211364.12150000036,DS97D,51841.51020000000,211364.12150000001
70462.769799999893,135980.75829999894,ER19B,70462.76980000000,135980.75829999999
75463.59799999744,135888.59959999844,ER29A,75463.59800000000,135888.59959999999
80464.412399999797,135796.43930000067,ER29B,80464.41240000000,135796.43930000000
75371.444600000978,130887.77769999951,ER29C,75371.44460000000,130887.77770000001
80372.259000003338,130795.63259999827,ER29D,80372.25900000001,130795.63260000000
85465.209899999201,135704.27749999985,ER39A,85465.20990000000,135704.27750000000
90465.987400002778,135612.11419999972,ER39B,90465.98740000000,135612.11420000001
85373.056500002742,130703.48919999972,ER39C,85373.05650000001,130703.48920000000
90373.834200002253,130611.34739999846,ER39D,90373.83420000000,130611.34740000000
100099.03329999745,115424.90170000121,ER47B,100099.03330000000,115424.90170000000
