TAG,Shape_Leng,Shape_Area
DS65B,12710.75430760000,4890059.99839000030
DS65D,6331.88511241000,533029.41697899997
DS66D,5928.87051508000,1615584.70933000000
DS72A,3702.73769184000,844456.27279099997
DS72B,12692.88215460000,3603525.20112999990
DS73A,17007.50952090000,13135267.50149999900
DS73B,20007.13663140000,25017844.76540000000
DS73C,16400.19814770000,10256582.91860000000
DS73D,20152.43653510000,25002697.76689999900
DS74A,18205.39694360000,12543428.04190000000
DS74B,20007.37391320000,25018437.88140000000
DS74C,17344.79194980000,10982990.59100000000
DS74D,20007.24902610000,25018125.94570000100
DS75A,20007.59822380000,25018999.16959999900
DS75B,20007.66059830000,25019155.07099999900
DS75C,20110.31477350000,24737316.44289999800
DS75D,20007.51100950000,25018780.94599999900
DS76B,10982.28946020000,4024898.12408000000
DS76C,18262.93638710000,13932968.84760000000
DS76D,19701.75661550000,24865348.58619999900
DS81B,14812.67945250000,6387671.67325999960
DS82A,19605.69534890000,21245459.66110000000
DS82B,20007.03597260000,25017593.01799999900
DS82C,14830.43803590000,5592587.65271999970
DS82D,19946.90783530000,25005467.87759999900
DS83A,20007.18629430000,25017968.86879999900
DS83B,20007.22385790000,25018062.70620000000
DS83C,20007.08627700000,25017719.13840000000
DS83D,20007.12371440000,25017812.05579999800
DS84A,20007.42363190000,25018562.42770000200
DS84B,20007.46105160000,25018656.10460000100
DS84C,20007.29861500000,25018250.16690000100
DS84D,20007.33610120000,25018343.52039999900
DS85A,20007.71047810000,25019280.00900000000
DS85B,20007.74795010000,25019373.63259999800
DS85C,20007.56075600000,25018905.75910000100
DS85D,20007.59840000000,25018999.31030000000
DS86A,17882.09076990000,16830816.92399999900
DS86B,19860.87325510000,24985076.53290000200
DS86C,20007.87269990000,25019685.31800000000
DS86D,20007.91010540000,25019779.26850000000
DS87D,13574.46332850000,7410328.43291999960
DS91A,17962.14369110000,16347762.94090000000
DS91B,6619.93237328000,419854.92483700003
DS92A,20007.06077680000,25017654.95800000100
DS92B,20007.07327800000,25017686.32950000100
DS92C,20006.98551020000,25017467.02149999900
DS92D,20076.86199340000,14759945.12219999900
DS93A,20007.24852240000,25018124.68070000000
DS93B,20007.26117850000,25018156.14339999900
DS93C,20007.14844880000,25017874.41589999900
DS93D,20007.16107660000,25017905.89830000000
DS94A,20007.48587070000,25018718.27550000000
DS94B,20007.49858720000,25018749.77670000100
DS94C,20007.36109210000,25018406.02039999900
DS94D,20007.37368200000,25018437.60150000100
DS95A,20007.77302540000,25019436.43970000000
DS95B,20007.78560220000,25019467.79199999900
DS95C,20007.62324720000,25019061.65019999800
DS95D,20007.63579200000,25019093.22419999900
DS96A,20008.10988820000,25020278.83300000100
DS96B,20008.12242350000,25020310.18010000100
DS96C,20007.93510690000,25019841.60269999900
DS96D,20007.94781020000,25019873.17150000100
DS97A,7031.86341932000,2060355.24397000000
DS97B,17452.88989810000,15924091.63419999900
DS97C,18768.80634580000,22534489.01020000100
DS97D,20008.30943460000,25020777.91120000200
ER19B,3982.97477901000,309732.10451899999
ER29A,19347.82652240000,19441518.65670000000
ER29B,20006.62263110000,25016559.31700000200
ER29C,1141.50228348000,44078.40619010000
ER29D,12624.14102300000,4292254.74339000040
ER39A,21030.82852110000,17604748.99410000100
ER39B,21831.95288330000,21288114.56360000000
ER39C,1627.24983466000,110178.85293800000
ER39D,13721.22313820000,5860756.33237999960
ER47B,16586.76975340000,11440505.50709999900
ER47D,7135.85567857000,1057625.58360000000
ER48B,17020.58659050000,13595788.70640000000
ER48D,16669.26700330000,11981614.04060000000
ER49A,20006.36478820000,25015914.90790000200
ER49B,20006.25440090000,25015638.44350000100
ER49C,17369.45189620000,7821758.66564999990
ER49D,19846.10840070000,24175645.76660000200
ER57A,21921.60382960000,17394891.41750000000
ER57B,16415.04557480000,9677809.60631000060
ER57C,12603.98235070000,3255178.95491999990
ER58A,20006.14226410000,25015358.11829999800
ER58B,20006.00741680000,25015020.89020000000
ER58C,20006.16599750000,25015417.67359999900
ER58D,20006.03152190000,25015080.88400000000
ER59A,20006.13151030000,25015331.22170000200
ER59B,20005.99650880000,25014993.42489999900
ER59C,20006.13093320000,25015329.48220000000
ER59D,20005.99591060000,25014991.82150000000
ER67A,20635.97682280000,17061877.63620000000
ER67B,19917.98432000000,15131951.11410000000
ER68A,20005.86036420000,25014652.95149999900
ER68B,20005.70090270000,25014254.38800000000
ER68C,20005.88454300000,25014713.42359999900
ER68D,20005.72506070000,25014314.90040000200
ER69A,20005.84901130000,25014624.76269999900
ER69B,20005.68940660000,25014225.53220000100
ER69C,20005.84868260000,25014623.74089999900
ER69D,20005.68904950000,25014224.75389999900
ER76B,148.13290926300,788.14641625200
ER77A,20404.53117050000,10784003.21790000100
ER77B,19414.43358090000,23904443.61930000000
ER77D,13199.53430830000,5104295.92996000030
ER78A,20005.52943950000,25013825.31340000000
ER78B,20005.34557110000,25013365.41560000200
ER78C,20005.55387130000,25013886.21339999900
ER78D,20005.36997850000,25013426.64669999900
ER79A,20005.51738930000,25013795.58320000000
ER79B,20005.33317770000,25013334.62009999900
ER79C,20005.51721470000,25013795.13360000000
ER79D,20005.33317090000,25013334.70490000000
ER83A,16529.27565310000,8201192.29342999960
ER83B,19820.12362760000,24109624.62379999800
ER83D,7904.22188627000,1167311.48075000010
ER84B,20430.10294930000,13833251.96749999900
ER84C,16184.93075960000,13644869.96990000100
ER84D,20038.66469660000,24924579.73510000100
ER85A,17947.54029690000,15108925.04089999900
ER85B,20005.27388050000,25013186.24130000200
ER85C,11186.33669580000,4417291.69129000050
ER85D,21159.39936720000,21184164.86389999800
ER86A,16726.69666830000,4914514.33198999990
ER86B,22931.15724070000,19208161.52470000100
ER86C,16536.05359300000,9813021.42837000080
ER86D,20005.18768400000,25012970.99549999800
ER87A,20005.21096900000,25013028.92139999900
ER87B,20005.00273980000,25012508.81560000000
ER87C,22816.66365400000,23038290.96689999800
