Subcollectie;scientificName;eventData;municipality;locality;Utm5km;recordedBy;identifiedBy;sex;lifestage;preparations;Veld12;catalogNumber;;Provincie
Algemeen;Aedes cinereus Meigen, 1818;10/6/1909;Destelbergen;;ES55B;Maurice E. M. Goetghebuer;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-5-Culi-6;1;;OV
Algemeen;Aedes cinereus Meigen, 1818;23/7/1917;Rixensart;Genval;FS02D;André Léon Tonnoir;André Léon Tonnoir;Male;Adult;Whole mount;3C-5-Culi-6;2;;BW
Algemeen;Aedes cinereus Meigen, 1818;7/1922;Mol;Abdij van Postel;FS58C;Guilliaume Severin;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-5-Culi-6;3;;AN
Algemeen;Aedes cinereus Meigen, 1818;9/6/1920;Destelbergen;;ES55B;;André Léon Tonnoir;Male;Adult;Whole mount;3C-5-Culi-6;4;;OV
Algemeen;Aedes cinereus Meigen, 1818;9/6/1920;Destelbergen;;ES55B;;André Léon Tonnoir;Female;Adult;Whole mount;3C-5-Culi-6;5;;OV
Algemeen;Anopheles atroparvus Van Thiel, 1927;16/7/1941;Antwerpen;Zandvliet;ES99C;;M. Lips;Male;Adult;Whole mount;3C-3-Culi-6;6;;AN
Algemeen;Anopheles atroparvus Van Thiel, 1927;16/7/1941;Antwerpen;Zandvliet;ES99C;;M. Lips;Female;Adult;Whole mount;3C-3-Culi-6;7;;AN
Algemeen;Anopheles atroparvus Van Thiel, 1927;8/1940;Ramskapelle;;ES18B of DS86C;;M. Lips;Male;Adult;Whole mount;3C-3-Culi-6;8;;
Algemeen;Anopheles atroparvus Van Thiel, 1927;8/1940;Ramskapelle;;ES18B of DS86C;;M. Lips;Female;Adult;Whole mount;3C-3-Culi-6;9;;
Algemeen;Anopheles atroparvus Van Thiel, 1927;8/1940;Ramskapelle;;ES18B of DS86C;;M. Lips;Female;Adult;Whole mount;3C-3-Culi-6;10;;
Algemeen;Anopheles claviger (Meigen, 1804);13/5/1910;Gent;;ES55A;Maurice E. M. Goetghebuer;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-3-Culi-6;11;;OV
Algemeen;Anopheles claviger (Meigen, 1804);13/5/1910;Gent;;ES55A;Maurice E. M. Goetghebuer;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-3-Culi-6;12;;OV
Algemeen;Anopheles claviger (Meigen, 1804);13/5/1910;Gent;;ES55A;Maurice E. M. Goetghebuer;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-3-Culi-6;13;;OV
Algemeen;Anopheles claviger (Meigen, 1804);18/9/1909;Gent;Sint-Amandsberg;ES55A;Maurice E. M. Goetghebuer;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-3-Culi-6;14;;OV
Algemeen;Anopheles claviger (Meigen, 1804);20/8/1896;Elsene;Ter Kameren;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-3-Culi-6;15;;BR
Algemeen;Anopheles claviger (Meigen, 1804);29/7/1919;Virton;;FQ89A;André Léon Tonnoir;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-3-Culi-6;16;;LX
Algemeen;Anopheles claviger (Meigen, 1804);30/7/1919;Virton;Ethe, Laclaireau;FQ89B;André Léon Tonnoir;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-3-Culi-6;17;;LX
Algemeen;Anopheles claviger (Meigen, 1804);30/9/1909;Gent;Sint-Amandsberg;ES55A;Maurice E. M. Goetghebuer;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-3-Culi-6;18;;OV
Algemeen;Anopheles claviger (Meigen, 1804);5/5/1922;Mol;Postel;FS58C;Guilliaume Severin;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-3-Culi-6;19;;AN
Algemeen;Anopheles maculipennis s.s. Meigen, 1818;11/1908;Gent;;ES55A;Paul de Moffarts;Paul de Moffarts;Female;Adult;Whole mount;3C-3-Culi-6;20;;OV
Algemeen;Anopheles maculipennis s.s. Meigen, 1818;11/6/1923;Mol;Postel;FS58C;Guilliaume Severin;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-3-Culi-6;21;;AN
Algemeen;Anopheles maculipennis s.s. Meigen, 1818;11/8/1922;Mol;Postel;FS58C;Guilliaume Severin;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-3-Culi-6;22;;AN
Algemeen;Anopheles maculipennis s.s. Meigen, 1818;13/1/1894;Etterbeek;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-3-Culi-6;23;;BR
Algemeen;Anopheles maculipennis s.s. Meigen, 1818;13/1/1894;Etterbeek;;ES93D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-3-Culi-6;24;;BR
Algemeen;Anopheles maculipennis s.s. Meigen, 1818;2/4/1894;Fléron;;FS81D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-3-Culi-6;25;;LG
Algemeen;Anopheles maculipennis s.s. Meigen, 1818;21/7/1922;Mol;Postel;FS58C;Guilliaume Severin;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-3-Culi-6;26;;AN
Algemeen;Anopheles maculipennis s.s. Meigen, 1818;26/2/1894;Fléron;;FS81D;E. Coucke;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-3-Culi-6;27;;LG
Algemeen;Anopheles maculipennis s.s. Meigen, 1818;26/8/1950;Oudergem;;FS03C;A. Collart;A. Collart;Female;Adult;Whole mount;3C-3-Culi-6;28;;BR
Algemeen;Anopheles maculipennis s.s. Meigen, 1818;5/5/1922;Mol;Postel;FS58C;Guilliaume Severin;Maurice E. M. Goetghebuer;Female;Adult;Whole mount;3C-3-Culi-6;29;;AN
Algemeen;Anopheles maculipennis s.s. Meigen, 1818;7/1922;Mol;Postel;FS58C;Guilliaume Severin;Maurice E. M. Goetghebuer;Male;Adult;Whole mount;3C-3-Culi-6;30;;AN
Algemeen;Anopheles maculipennis s.s. Meigen, 1818;7/4/1954;Watermaal;;ES92B;E. Janmoulle;;Female;Adult;Whole mount;3C-3-Culi-6;31;;BR
