scientificName,accessRights,datasetName,ownerInstitutionCode,basisOfREcord,countryCode,geodeticDatum,kingdom,eventDate,year,locality,localityLatitude,LocalityLongitude,municipality,recordedBy,sex,lifestage,occurrenceID,georeferenceRemarks,decimalLongitude,decimalLatitude
Aedes cinereus,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,10/6/1909,1909,,,,Destelbergen,Maurice E. M. Goetghebuer,Male,Adult,RBINS:modirisk:collection:1,centroid of respective UTM square given,3.8206169257590403,51.06613746522118
Aedes cinereus,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,23/7/1917,1917,Genval,50.7211,4.49388,Rixensart,André Léon Tonnoir,Male,Adult,RBINS:modirisk:collection:2,centroid of respective UTM square given,4.523679733033983,50.744320946323356
Aedes cinereus,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,7/1922,1922,Abdij van Postel,,,Mol,Guilliaume Severin,Male,Adult,RBINS:modirisk:collection:3,centroid of respective UTM square given,5.186294567506461,51.27340790203188
Aedes cinereus,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,9/6/1920,1920,,,,Destelbergen,,Male,Adult,RBINS:modirisk:collection:4,centroid of respective UTM square given,3.8206169257590403,51.06613746522118
Aedes cinereus,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,9/6/1920,1920,,,,Destelbergen,,Female,Adult,RBINS:modirisk:collection:5,centroid of respective UTM square given,3.8206169257590403,51.06613746522118
Anopheles atroparvus,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,16/7/1941,1941,Zandvliet,51.35964999999999,4.30716,Antwerpen,,Male,Adult,RBINS:modirisk:collection:6,centroid of respective UTM square given,4.3290379466488025,51.37620575239301
Anopheles atroparvus,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,16/7/1941,1941,Zandvliet,51.35964999999999,4.30716,Antwerpen,,Female,Adult,RBINS:modirisk:collection:7,centroid of respective UTM square given,4.3290379466488025,51.37620575239301
Anopheles atroparvus,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,8/1940,1940,,,,Ramskapelle,,Male,Adult,RBINS:modirisk:collection:8,centroid of respective UTM square given,3.251229494419811,51.33851408667626
Anopheles atroparvus,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,8/1940,1940,,,,Ramskapelle,,Female,Adult,RBINS:modirisk:collection:9,centroid of respective UTM square given,3.251229494419811,51.33851408667626
Anopheles atroparvus,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,8/1940,1940,,,,Ramskapelle,,Female,Adult,RBINS:modirisk:collection:10,centroid of respective UTM square given,3.251229494419811,51.33851408667626
Anopheles claviger,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,13/5/1910,1910,,,,Gent,Maurice E. M. Goetghebuer,Female,Adult,RBINS:modirisk:collection:11,centroid of respective UTM square given,3.7492658563690693,51.06661661343593
Anopheles claviger,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,13/5/1910,1910,,,,Gent,Maurice E. M. Goetghebuer,Female,Adult,RBINS:modirisk:collection:12,centroid of respective UTM square given,3.7492658563690693,51.06661661343593
Anopheles claviger,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,13/5/1910,1910,,,,Gent,Maurice E. M. Goetghebuer,Male,Adult,RBINS:modirisk:collection:13,centroid of respective UTM square given,3.7492658563690693,51.06661661343593
Anopheles claviger,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,18/9/1909,1909,Sint-Amandsberg,51.0593304,3.7509905,Gent,Maurice E. M. Goetghebuer,Female,Adult,RBINS:modirisk:collection:14,centroid of respective UTM square given,3.7492658563690693,51.06661661343593
Anopheles claviger,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,20/8/1896,1896,Ter Kameren,,,Elsene,E. Coucke,Female,Adult,RBINS:modirisk:collection:15,centroid of respective UTM square given,4.384642333258973,50.83598850241617
Anopheles claviger,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,29/7/1919,1919,,,,Virton,André Léon Tonnoir,Male,Adult,RBINS:modirisk:collection:16,centroid of respective UTM square given,5.525862698756433,49.60249215032507
Anopheles claviger,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,30/7/1919,1919,"Ethe, Laclaireau",,,Virton,André Léon Tonnoir,Male,Adult,RBINS:modirisk:collection:17,centroid of respective UTM square given,5.5949906104220455,49.600962091625235
Anopheles claviger,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,30/9/1909,1909,Sint-Amandsberg,51.0593304,3.7509905,Gent,Maurice E. M. Goetghebuer,Female,Adult,RBINS:modirisk:collection:18,centroid of respective UTM square given,3.7492658563690693,51.06661661343593
Anopheles claviger,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,5/5/1922,1922,Postel,51.28763,5.1931199999999995,Mol,Guilliaume Severin,Female,Adult,RBINS:modirisk:collection:19,centroid of respective UTM square given,5.186294567506461,51.27340790203188
Anopheles maculipennis,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,11/1908,1908,,,,Gent,Paul de Moffarts,Female,Adult,RBINS:modirisk:collection:20,centroid of respective UTM square given,3.7492658563690693,51.06661661343593
Anopheles maculipennis,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,11/6/1923,1923,Postel,51.28763,5.1931199999999995,Mol,Guilliaume Severin,Female,Adult,RBINS:modirisk:collection:21,centroid of respective UTM square given,5.186294567506461,51.27340790203188
Anopheles maculipennis,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,11/8/1922,1922,Postel,51.28763,5.1931199999999995,Mol,Guilliaume Severin,Male,Adult,RBINS:modirisk:collection:22,centroid of respective UTM square given,5.186294567506461,51.27340790203188
Anopheles maculipennis,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,13/1/1894,1894,,,,Etterbeek,E. Coucke,Female,Adult,RBINS:modirisk:collection:23,centroid of respective UTM square given,4.384642333258973,50.83598850241617
Anopheles maculipennis,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,13/1/1894,1894,,,,Etterbeek,E. Coucke,Female,Adult,RBINS:modirisk:collection:24,centroid of respective UTM square given,4.384642333258973,50.83598850241617
Anopheles maculipennis,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,2/4/1894,1894,,,,Fléron,E. Coucke,Female,Adult,RBINS:modirisk:collection:25,centroid of respective UTM square given,5.6514870605177,50.63417213139914
Anopheles maculipennis,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,21/7/1922,1922,Postel,51.28763,5.1931199999999995,Mol,Guilliaume Severin,Male,Adult,RBINS:modirisk:collection:26,centroid of respective UTM square given,5.186294567506461,51.27340790203188
Anopheles maculipennis,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,26/2/1894,1894,,,,Fléron,E. Coucke,Female,Adult,RBINS:modirisk:collection:27,centroid of respective UTM square given,5.6514870605177,50.63417213139914
Anopheles maculipennis,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,26/8/1950,1950,,,,Oudergem,A. Collart,Female,Adult,RBINS:modirisk:collection:28,centroid of respective UTM square given,4.455625713577015,50.83512448461186
Anopheles maculipennis,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,5/5/1922,1922,Postel,51.28763,5.1931199999999995,Mol,Guilliaume Severin,Female,Adult,RBINS:modirisk:collection:29,centroid of respective UTM square given,5.186294567506461,51.27340790203188
Anopheles maculipennis,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,7/1922,1922,Postel,51.28763,5.1931199999999995,Mol,Guilliaume Severin,Male,Adult,RBINS:modirisk:collection:30,centroid of respective UTM square given,5.186294567506461,51.27340790203188
Anopheles maculipennis,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,7/4/1954,1954,,,,Watermaal,E. Janmoulle,Female,Adult,RBINS:modirisk:collection:31,centroid of respective UTM square given,4.383313667769996,50.79103769697872
Coquillettidia richiardii,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,11/7/1922,1922,Postel,51.28763,5.1931199999999995,Mol,Guilliaume Severin,Female,Adult,RBINS:modirisk:collection:32,centroid of respective UTM square given,5.186294567506461,51.27340790203188
Coquillettidia richiardii,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,11/8/1922,1922,Postel,51.28763,5.1931199999999995,Mol,Guilliaume Severin,Female,Adult,RBINS:modirisk:collection:33,centroid of respective UTM square given,5.186294567506461,51.27340790203188
Coquillettidia richiardii,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,12/8/1919,1919,Neerpede,50.82522969999999,4.2614292,Anderlecht,André Léon Tonnoir,Female,Adult,RBINS:modirisk:collection:34,centroid of respective UTM square given,4.313655544145898,50.8368093510628
Coquillettidia richiardii,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,20/7/1917,1917,Genval,50.7211,4.49388,Rixensart,André Léon Tonnoir,Female,Adult,RBINS:modirisk:collection:35,centroid of respective UTM square given,4.523679733033983,50.744320946323356
Coquillettidia richiardii,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,7/1922,1922,Abdij van Postel,,,Mol,Guilliaume Severin,Female,Adult,RBINS:modirisk:collection:36,centroid of respective UTM square given,5.186294567506461,51.27340790203188
Coquillettidia richiardii,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,7/1922,1922,Postel,51.28763,5.1931199999999995,Mol,Guilliaume Severin,Male,Adult,RBINS:modirisk:collection:37,centroid of respective UTM square given,5.186294567506461,51.27340790203188
Coquillettidia richiardii,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,7/1922,1922,Postel,51.28763,5.1931199999999995,Mol,Guilliaume Severin,Female,Adult,RBINS:modirisk:collection:38,centroid of respective UTM square given,5.186294567506461,51.27340790203188
Coquillettidia richiardii,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,8/7/1918,1918,,,,Anderlecht,André Léon Tonnoir,Female,Adult,RBINS:modirisk:collection:39,centroid of respective UTM square given,4.313655544145898,50.8368093510628
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,1/10/1967,1967,,,,Liége,F. Delhez,Female,Adult,RBINS:modirisk:collection:40,centroid of respective UTM square given,5.5808582499078465,50.63575893097075
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,1/4/1892,1892,,,,Brussel,E. Coucke,Female,Adult,RBINS:modirisk:collection:41,centroid of respective UTM square given,4.384642333258973,50.83598850241617
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,1/5/1895,1895,,,,Brussel,E. Coucke,Female,Adult,RBINS:modirisk:collection:42,centroid of respective UTM square given,4.384642333258973,50.83598850241617
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,1/5/1895,1895,,,,Brussel,E. Coucke,Female,Adult,RBINS:modirisk:collection:43,centroid of respective UTM square given,4.384642333258973,50.83598850241617
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,10/11/1917,1917,,,,Ukkel,Guilliaume Severin,Female,Adult,RBINS:modirisk:collection:44,centroid of respective UTM square given,4.383313667769996,50.79103769697872
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,10/1908,1908,,,,Gent,Paul de Moffarts,Female,Adult,RBINS:modirisk:collection:45,centroid of respective UTM square given,3.7492658563690693,51.06661661343593
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,10/1944,1944,Boitsfort,,,Watermael-Boitsfort,Georges Marlier,Female,Adult,RBINS:modirisk:collection:46,centroid of respective UTM square given,4.383313667769996,50.79103769697872
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,10/3/1896,1896,,,,Oudergem,E. Coucke,Female,Adult,RBINS:modirisk:collection:47,centroid of respective UTM square given,4.455625713577015,50.83512448461186
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,10/6/1895,1895,Ter Kameren,,,Oudergem,E. Coucke,Male,Adult,RBINS:modirisk:collection:48,centroid of respective UTM square given,4.455625713577015,50.83512448461186
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,10/6/1918,1918,Forêt de Soignes,,, ,André Léon Tonnoir,Female,Adult,RBINS:modirisk:collection:49,centroid of respective UTM square given,4.3819883970772535,50.74608651803466
