"type","language","license","eventID","rightsHolder","accessRights","institutionCode","datasetName","ownerInstitutionCode","basisOfREcord","countryCode","Municipality","kingdom","nomenclaturalCode","locality","parentEventID","eventDate"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Natoye:NT1:1","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Natoye","Animalia","ICZN","NT1","Natoye:NT1","1/06/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Natoye:NT1:10","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Natoye","Animalia","ICZN","NT1","Natoye:NT1","5/10/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Natoye:NT1:2","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Natoye","Animalia","ICZN","NT1","Natoye:NT1","15/06/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Natoye:NT1:3","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Natoye","Animalia","ICZN","NT1","Natoye:NT1","29/06/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Natoye:NT1:4","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Natoye","Animalia","ICZN","NT1","Natoye:NT1","13/07/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Natoye:NT1:5","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Natoye","Animalia","ICZN","NT1","Natoye:NT1","27/07/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Natoye:NT1:6","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Natoye","Animalia","ICZN","NT1","Natoye:NT1","10/08/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Natoye:NT1:7","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Natoye","Animalia","ICZN","NT1","Natoye:NT1","24/08/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Natoye:NT1:8","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Natoye","Animalia","ICZN","NT1","Natoye:NT1","7/09/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:Natoye:NT1:9","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Natoye","Animalia","ICZN","NT1","Natoye:NT1","21/09/2009"
