id	type	language	license	rightsHolder	accessRights	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	occurrenceID	catalogNumber	recordedBy	sex	lifeStage	preparations	disposition	eventDate	year	month	day	countryCode	stateProvince	municipality	locality	verbatimCoordinates	verbatimLatitude	verbatimLongitude	decimalLatitude	decimalLongitude	geodeticDatum	georeferenceRemarks	identifiedBy	scientificName	originalNameUsage	kingdom	genus	specificEpithet	nomenclaturalCode
RBINS:modirisk:collection:1	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RBINS Insect Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:1	1	Maurice E. M. Goetghebuer	Male	Adult	Whole mount	in collection	10/6/1909	1909	6	10	BE	East Flanders	Destelbergen		ES55B	195252.21279999983	111577.44240000099	51.06613746522118	3.8206169257590403	WGS84	centroid of respective UTM square given	Maurice E. M. Goetghebuer	Aedes cinereus	Aedes cinereus Meigen, 1818	Animalia	Aedes	cinereus	ICZN
RBINS:modirisk:collection:2	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RBINS Insect Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:2	2	André Léon Tonnoir	Male	Adult	Whole mount	in collection	23/7/1917	1917	7	23	BE	Brabant Wallon	Rixensart	Genval	FS02D	159322.50360000134	160934.75850000232	50.744320946323356	4.523679733033983	WGS84	centroid of respective UTM square given	André Léon Tonnoir	Aedes cinereus	Aedes cinereus Meigen, 1818	Animalia	Aedes	cinereus	ICZN
RBINS:modirisk:collection:3	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RBINS Insect Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:3	3	Guilliaume Severin	Male	Adult	Whole mount	in collection	7/1922	1922	7		BE	Antwerp	Mol	Abdij van Postel	FS58C	218484.7379	207051.83349999785	51.27340790203188	5.186294567506461	WGS84	centroid of respective UTM square given	Maurice E. M. Goetghebuer	Aedes cinereus	Aedes cinereus Meigen, 1818	Animalia	Aedes	cinereus	ICZN
RBINS:modirisk:collection:4	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RBINS Insect Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:4	4		Male	Adult	Whole mount	in collection	9/6/1920	1920	6	9	BE	East Flanders	Destelbergen		ES55B	195252.21279999983	111577.44240000099	51.06613746522118	3.8206169257590403	WGS84	centroid of respective UTM square given	André Léon Tonnoir	Aedes cinereus	Aedes cinereus Meigen, 1818	Animalia	Aedes	cinereus	ICZN
RBINS:modirisk:collection:5	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RBINS Insect Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:5	5		Female	Adult	Whole mount	in collection	9/6/1920	1920	6	9	BE	East Flanders	Destelbergen		ES55B	195252.21279999983	111577.44240000099	51.06613746522118	3.8206169257590403	WGS84	centroid of respective UTM square given	André Léon Tonnoir	Aedes cinereus	Aedes cinereus Meigen, 1818	Animalia	Aedes	cinereus	ICZN
RBINS:modirisk:collection:6	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RBINS Insect Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:6	6		Male	Adult	Whole mount	in collection	16/7/1941	1941	7	16	BE	Antwerp	Antwerpen	Zandvliet	ES99C	229608.05750000104	147234.04649999738	51.37620575239301	4.3290379466488025	WGS84	centroid of respective UTM square given	M. Lips	Anopheles atroparvus	Anopheles atroparvus Van Thiel, 1927	Animalia	Anopheles	atroparvus	ICZN
RBINS:modirisk:collection:7	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RBINS Insect Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:7	7		Female	Adult	Whole mount	in collection	16/7/1941	1941	7	16	BE	Antwerp	Antwerpen	Zandvliet	ES99C	229608.05750000104	147234.04649999738	51.37620575239301	4.3290379466488025	WGS84	centroid of respective UTM square given	M. Lips	Anopheles atroparvus	Anopheles atroparvus Van Thiel, 1927	Animalia	Anopheles	atroparvus	ICZN
RBINS:modirisk:collection:8	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RBINS Insect Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:8	8		Male	Adult	Whole mount	in collection	8/1940	1940	8		BE		Ramskapelle		ES18B	225999.05160000172	72123.43349999934	51.33851408667626	3.251229494419811	WGS84	centroid of respective UTM square given	M. Lips	Anopheles atroparvus	Anopheles atroparvus Van Thiel, 1927	Animalia	Anopheles	atroparvus	ICZN
RBINS:modirisk:collection:9	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RBINS Insect Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:9	9		Female	Adult	Whole mount	in collection	8/1940	1940	8		BE		Ramskapelle		ES18B	225999.05160000172	72123.43349999934	51.33851408667626	3.251229494419811	WGS84	centroid of respective UTM square given	M. Lips	Anopheles atroparvus	Anopheles atroparvus Van Thiel, 1927	Animalia	Anopheles	atroparvus	ICZN
RBINS:modirisk:collection:10	Event	en	https://creativecommons.org/licenses/by-nc/4.0/	RBINS	http://www.inbo.be/en/norms-for-data-use	RBINS	RBINS Insect Collection	MODIRISK:RBINS Diptera: Culicidae Collection	RBINS	PreservedSpecimen	RBINS:modirisk:collection:10	10		Female	Adult	Whole mount	in collection	8/1940	1940	8		BE		Ramskapelle		ES18B	225999.05160000172	72123.43349999934	51.33851408667626	3.251229494419811	WGS84	centroid of respective UTM square given	M. Lips	Anopheles atroparvus	Anopheles atroparvus Van Thiel, 1927	Animalia	Anopheles	atroparvus	ICZN
